   103.143.136.43  63781   0.0                         (Tokyo, Tokyo, JP, AS) koba-103-143-136-43.rev.kobayashi.ad.jp                                                             
   103.143.136.62  63781   6.625                       (Tokyo, Tokyo, JP, AS) koba-103-143-136-62.rev.kobayashi.ad.jp                                                             
   103.143.136.29  63781   0.683                       (Tokyo, Tokyo, JP, AS) bgprt2-ospfrt1.kobayashi.ad.jp                                                                      
   103.143.136.17  63781   0.841                       (Tokyo, Tokyo, JP, AS) koba-103-143-136-17.rev.kobayashi.ad.jp                                                             
   103.41.60.164   10010   0.927                       (Tokyo, Tokyo, JP, AS) bgp3.tokyo-ix.v4.open.ad.jp                                                                         
   150.99.184.33   2907    1.778                       (Tokyo, Tokyo, JP, AS)                                                                                                     
   150.99.10.187   2907    2.026                         (None, None, JP, AS) *                                                                                                   
   202.232.6.17    2497    2.309                       (Tokyo, Tokyo, JP, AS)                                                                                                     
   58.138.114.253  2497    5.196                       (Tokyo, Tokyo, JP, AS) tky009bb11.iij.net                                                                                  
   58.138.114.18   2497    5.084                       (Tokyo, Tokyo, JP, AS) tky009ix53.iij.net                                                                                  
╭─ 67.220.149.221  3257    137.609                     (Tokyo, Tokyo, JP, AS) ae6.cr4-tyo1.ip4.gtt.net                                                                            
S (3257)  
╰─ 141.136.105.130 3257    133.73                      (San Jose, CA, US, NA) ae0.cr3-sjc1.ip4.gtt.net                                                                            
   72.29.200.41    3257    137.213             (San Jose, California, US, NA) ip4.gtt.net                                                                                         
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   149.28.210.233  20473   211.31           (Santa Clara, California, US, NA) 149.28.210.233.vultrusercontent.com                                                                 
