   37.252.251.26   42473   0.0       (Santiago, Santiago Metropolitan, CL, SA)                                                                                                     
   37.252.251.25   42473   0.237     (Santiago, Santiago Metropolitan, CL, SA)                                                                                                     
╭─ 200.123.197.33  6762    0.737     (Santiago, Santiago Metropolitan, CL, SA)                                                                                                     
T (6762)  
╰─ 195.22.220.13   6762    21.042                (Buenos Aires, None, AR, SA) ae12.baires5.bai.seabone.net                                                                        
   195.22.220.59   7303    22.457                (Buenos Aires, None, AR, SA) telecom-argentina.baires5.bai.seabone.net                                                           
   ***             *       -inf                                           *** *                                                                                                   
   181.96.114.75   7303    40.643                        (Córdoba, X, AR, SA) host75.181-96-114.telecom.net.ar                                                                    
   181.96.113.135  7303    40.472                        (Córdoba, X, AR, SA) host135.181-96-113.telecom.net.ar                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   168.227.255.238 263777  41.707                        (Tostado, S, AR, SA) 168-227-255-238.ipv4.tostado.com.ar                                                                 
   138.204.7.245   263777  41.618                 (Tostado, Santa Fe, AR, SA) 138-204-7-245.ipv4.tostado.com.ar                                                                   
