   206.196.178.150 10886   0.0                     (Reston, Virginia, US, NA) us-xqm-as10886.anchors.atlas.ripe.net                                                               
   206.196.178.149 10886   0.344             (Pimmit Hills, Virginia, US, NA)                                                                                                     
   206.196.177.81  11164   1.149                     (Washington, DC, US, NA) et-2-3-0-1277.rtsw.wash.net.internet2.edu                                                           
   163.253.1.120   11164   1.89                          (None, None, US, NA) fourhundredge-0-0-0-0.4079.core2.ashb.net.internet2.edu                                             
   163.253.1.147   11164   3.97                          (None, None, US, NA) fourhundredge-0-0-0-51.4079.agg1.ashb.net.internet2.edu                                             
   162.252.69.146  7922    2.575                         (None, None, US, NA) *                                                                                                   
   96.110.32.121   7922    1.464                        (Ashburn, VA, US, NA) be-2111-cs01.ashburn.va.ibone.comcast.net                                                           
   68.86.84.18     7922    1.602                  (Ashburn, Virginia, US, NA) be-1111-cr11.beaumeade.va.ibone.comcast.net                                                         
   96.110.32.74    7922    16.263                  (Atlanta, Georgia, US, NA) be-303-cr13.doraville.ga.ibone.comcast.net                                                          
   96.110.34.197   7922    16.16                      (Doraville, GA, US, NA) be-1213-cs02.doraville.ga.ibone.comcast.net                                                         
   96.110.34.182   7922    16.245                     (Doraville, GA, US, NA) be-1212-cr12.doraville.ga.ibone.comcast.net                                                         
   96.110.38.62    7922    28.936                  (Jacksonville, FL, US, NA) be-302-cr12.jacksonville.fl.ibone.comcast.net                                                       
   96.110.47.69    7922    28.43                   (Jacksonville, FL, US, NA) be-1112-cs01.jacksonville.fl.ibone.comcast.net                                                      
   96.110.47.66    7922    28.203                  (Jacksonville, FL, US, NA) be-1111-cr11.jacksonville.fl.ibone.comcast.net                                                      
   96.110.39.246   7922    30.868                         (Miami, FL, US, NA) be-302-cr12.miami.fl.ibone.comcast.net                                                              
   96.110.44.189   7922    28.246                         (Miami, FL, US, NA) be-1312-cs03.miami.fl.ibone.comcast.net                                                             
   96.110.36.90    7922    30.21                         (None, None, US, NA) be-3301-pe01.nota.fl.ibone.comcast.net                                                              
   169.254.0.246   *       28.328                                         ***                                                                                                     
   10.255.81.196   *       28.744                                         ***                                                                                                     
   10.255.81.181   *       28.106                                         ***                                                                                                     
   5.8.25.131      199524  27.731                         (Miami, FL, US, NA) vrrp.gcore.lu                                                                                       
   92.38.132.60    202422  28.324                    (Miami, Florida, US, NA)                                                                                                     
