   104.131.160.184 14061   0.0                  (Clifton, New Jersey, US, NA) us-nyc-as14061.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   10.74.132.71    *       0.363                                          ***                                                                                                     
   138.197.248.254 *       0.954            (New York City, New York, US, NA)                                                                                                     
   138.197.248.16  *       0.337            (New York City, New York, US, NA)                                                                                                     
   62.115.45.5     1299    0.971            (New York City, New York, US, NA) nyk-b11-link.ip.twelve99.net                                                                        
   62.115.112.68   1299    1.596            (New York City, New York, US, NA) nyk-bb1-link.ip.twelve99.net                                                                        
   62.115.141.244  1299    7.37                   (Ashburn, Virginia, US, NA) rest-bb1-link.ip.twelve99.net                                                                       
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   5.8.25.130      199524  30.068                         (Miami, FL, US, NA) vrrp.gcore.lu                                                                                       
   92.38.132.60    202422  30.423                    (Miami, Florida, US, NA)                                                                                                     
