   217.243.179.165 3320    0.0              (New York City, New York, US, NA)                                                                                                     
   217.243.179.164 3320    0.859            (New York City, New York, US, NA)                                                                                                     
   173.167.56.189  7922    0.701            (New York City, New York, US, NA) hu-0-0-0-23-pe11.60hudson.ny.ibone.comcast.net                                                      
   96.110.34.49    7922    0.764            (New York City, New York, US, NA) be-4111-cs01.newyork.ny.ibone.comcast.net                                                           
   68.86.86.82     7922    0.82                (Secaucus, New Jersey, US, NA) be-1113-cr13.newyork.ny.ibone.comcast.net                                                           
   68.86.83.181    7922    1.372              (Elizabeth, New Jersey, US, NA) be-302-cr14.newark.nj.ibone.comcast.net                                                             
   96.110.37.73    7922    1.378                 (Newark, New Jersey, US, NA) be-1314-cs03.newark.nj.ibone.comcast.net                                                            
   96.110.35.90    7922    1.308                         (Newark, NJ, US, NA) be-1312-cr12.newark.nj.ibone.comcast.net                                                            
   96.110.37.165   7922    6.657                  (Ashburn, Virginia, US, NA) be-304-cr13.beaumeade.va.ibone.comcast.net                                                          
   68.86.85.65     7922    6.168                        (Ashburn, VA, US, NA) be-1113-cs01.beaumeade.va.ibone.comcast.net                                                         
   68.86.84.18     7922    6.354                  (Ashburn, Virginia, US, NA) be-1111-cr11.beaumeade.va.ibone.comcast.net                                                         
   96.110.32.78    7922    19.02                   (Atlanta, Georgia, US, NA) be-304-cr13.doraville.ga.ibone.comcast.net                                                          
   96.110.34.201   7922    19.056                     (Doraville, GA, US, NA) be-1313-cs03.doraville.ga.ibone.comcast.net                                                         
   96.110.34.186   7922    19.185                     (Doraville, GA, US, NA) be-1312-cr12.doraville.ga.ibone.comcast.net                                                         
   96.110.36.254   7922    24.901                  (Jacksonville, FL, US, NA) be-304-cr12.jacksonville.fl.ibone.comcast.net                                                       
   96.110.47.117   7922    25.207                  (Jacksonville, FL, US, NA) be-1412-cs04.jacksonville.fl.ibone.comcast.net                                                      
   96.110.47.114   7922    25.603                  (Jacksonville, FL, US, NA) be-1411-cr11.jacksonville.fl.ibone.comcast.net                                                      
   96.110.39.254   7922    31.365                         (Miami, FL, US, NA) be-304-cr12.miami.fl.ibone.comcast.net                                                              
   96.110.44.201   7922    31.071                         (Miami, FL, US, NA) be-1412-cs04.miami.fl.ibone.comcast.net                                                             
   96.110.36.94    7922    31.61                         (None, None, US, NA) be-3401-pe01.nota.fl.ibone.comcast.net                                                              
   169.254.0.246   *       29.064                                         ***                                                                                                     
   10.255.81.195   *       33.625                                         ***                                                                                                     
   10.255.81.182   *       33.516                                         ***                                                                                                     
   5.8.25.130      199524  33.586                         (Miami, FL, US, NA) vrrp.gcore.lu                                                                                       
   92.38.132.60    202422  33.262                    (Miami, Florida, US, NA)                                                                                                     
