   195.66.241.220  5459    0.0                      (London, England, GB, EU) ripe-anchor.linx.net                                                                                
   195.66.241.219  5459    0.59                     (Poplar, England, GB, EU) hsrp1.tr1-tr6.linx.net                                                                              
   195.66.243.21   5459    0.972                    (Poplar, England, GB, EU) et-0-0-0-border2-tch.linx.net                                                                       
   149.11.249.25   174     1.243                    (London, England, GB, EU)                                                                                                     
   154.54.61.70    174     1.197                        (London, ENG, GB, EU) be2186.ccr22.lon01.atlas.cogentco.com                                                               
╭─ 154.54.57.161   174     1.587                        (London, ENG, GB, EU) be2869.ccr42.lon13.atlas.cogentco.com                                                               
S&T (174)  circe-north ✓ || ulysses-2 ✘ || scylla ✘ || zeus ✓ || concerto © || farland-north ✘
╰─ 130.117.51.42   174     8.507                      (Amsterdam, NH, NL, EU) be12488.ccr42.ams03.atlas.cogentco.com                                                              
   130.117.50.206  174     8.903                      (Amsterdam, NH, NL, EU) be2154.rcr22.ams06.atlas.cogentco.com                                                               
   149.14.93.146   4826    8.244                      (Amsterdam, NH, NL, EU) *                                                                                                   
   81.17.35.97     *       7.595           (Amsterdam, North Holland, NL, EU) po-2.ce04.ams-01.nl.leaseweb.net                                                                    
   185.51.192.48   60781   8.519             (Haarlem, North Holland, NL, EU)                                                                                                     
