   193.65.45.86    719     0.0              (Hämeenlinna, Kanta-Häme, FI, EU)                                                                                                     
   193.65.45.85    719     0.915                     (Espoo, Uusimaa, FI, EU)                                                                                                     
   193.229.29.196  719     3.911                  (Helsinki, Uusimaa, FI, EU)                                                                                                     
   213.192.184.76  6667    3.327                  (Helsinki, Uusimaa, FI, EU)                                                                                                     
   213.192.184.176 6667    3.632                         (None, None, FI, EU) *                                                                                                   
   213.192.190.29  47605   3.672                         (None, None, FI, EU) ge0-0-0-408.bbr1.hel2.fi.eunetip.net                                                                
   87.236.154.213  47605   3.781                         (None, None, FI, EU) *                                                                                                   
   87.236.158.53   47605   5.1                    (Helsinki, Uusimaa, FI, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   93.174.194.183  20904   13.223          (Oulu, North Ostrobothnia, FI, EU)                                                                                                     
