   185.239.193.37  39484   0.0                   (Tampere, Pirkanmaa, FI, EU) fi-tmp-as39484.anchors.atlas.ripe.net                                                               
   185.239.193.33  39484   0.829                 (Tampere, Pirkanmaa, FI, EU) her0-rtr1.poasnet.fi                                                                                
   193.167.244.180 1741    0.606                 (Tampere, Pirkanmaa, FI, EU) tampere1-et-0-1-5-666.ip.funet.fi                                                                   
   86.50.255.220   1741    3.061            (Hämeenlinna, Kanta-Häme, FI, EU) hameenlinna2.ip.funet.fi                                                                            
   86.50.255.224   1741    3.04             (Hämeenlinna, Kanta-Häme, FI, EU) hameenlinna1.ip.funet.fi                                                                            
   86.50.255.223   1741    3.343                     (Espoo, Uusimaa, FI, EU) espoo2.ip.funet.fi                                                                                  
   86.50.255.243   1741    3.018                       (Helsinki, 18, FI, EU) helsinki1.ip.funet.fi                                                                               
   193.110.224.50  20904   3.309                      (Helsinki, 1, FI, None) netplaza.ficix2.ficix.fi                                                                            
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   93.174.194.183  20904   11.331          (Oulu, North Ostrobothnia, FI, EU)                                                                                                     
