   207.246.88.250  20473   0.0               (Piscataway, New Jersey, US, NA) 207.246.88.250.vultrusercontent.com                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   10.64.9.81      *       1.253                                          ***                                                                                                     
   10.64.4.29      *       1.03                                           ***                                                                                                     
   10.64.0.249     *       1.012                                          ***                                                                                                     
╭─ 65.59.14.17     3356    2.269               (Secaucus, New Jersey, US, NA) 7-1-2-116.ear1.newyork6.level3.net                                                                  
S (3356, 3549)  brusa ✓ || america-movil-submarine-cable-system-1-amx-1 © || south-america-1-sam-1 ✓ || globenet © || monet © || americas-ii 👍
╰─ 200.189.213.42  3549    98.335                 (Osasco, São Paulo, BR, SA) ae7.3602.ebr2.sap1.ciriontechnologies.net                                                           
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   5.188.238.222   202422  98.399              (São Paulo, São Paulo, BR, SA)                                                                                                     
