   195.130.66.103  199399  0.0                       (Athens, Attica, GR, EU) gr-ath-as199399.anchors.atlas.ripe.net                                                              
   195.130.66.102  199399  1.166                    (Výronas, Attica, GR, EU) gw-ripe-anchor.gr-ix.gr                                                                             
   62.217.98.52    5408    0.493                    (Výronas, Attica, GR, EU) grix-admin-gw.eier.access-link.grnet.gr                                                             
╭─ 83.97.88.69     21320   0.475                    (Výronas, Attica, GR, EU) grnet-ias-geant-gw.mx2.ath.gr.geant.net                                                             
S&T (21320, 20965)  mednautilus-submarine-system ✘ || oteglobe-kokkini-bari ✘ || italy-greece-1 ✘
╰─ 62.40.98.150    20965   25.096                   (Milan, Lombardy, IT, EU) ae7.rt1.mil2.it.geant.net                                                                           
   217.29.66.116   *       24.055                  (Figino, Lombardy, IT, EU) retn.mix-it.net                                                                                     
   87.245.233.115  9002    28.875                   (Milan, Lombardy, IT, EU) et302-10.rt.vsx.pda.it.retn.net                                                                     
   87.245.241.129  9002    31.483                   (Milan, Lombardy, IT, EU) gw-as201333.retn.net                                                                                
   185.78.48.146   201333  35.824                   (Milan, Lombardy, IT, EU) ens1f4-911-r02.pia1.naquadria.net                                                                   
   185.78.48.244   201333  35.67                      (Parabiago, 25, IT, EU) lf01b5-vlan910.pia1.naquadria.net                                                                   
   185.78.49.100   201333  33.003          (Piacenza, Emilia-Romagna, IT, EU) it-pcz-as201333.anchors.atlas.ripe.net                                                              
