   80.67.190.218   204092  0.0                     (Rennes, Brittany, FR, EU) ripe-anchor.grifon.fr                                                                               
   80.67.190.193   204092  0.462                   (Rennes, Brittany, FR, EU) xn--beurresal-j4a.grifon.fr                                                                         
   89.234.186.34   204092  0.765                         (None, None, FR, EU) asbr02.cogent-rns.bb.grifon.fr                                                                      
   31.172.233.208  30781   1.978     (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) po6-54.er01.ren02.jaguar-network.net                                                                
   78.153.231.101  30781   7.305               (Paris, Île-de-France, FR, EU) be1.er02.par01.jaguar-network.net                                                                   
╭─ 213.19.201.109  3356    7.198               (Paris, Île-de-France, FR, EU) 1-1-c21-1.ear5.paris1.level3.net                                                                    
S&T (3356)  
╰─ 171.75.8.45     3356    22.768                    (Madrid, Madrid, ES, EU) ae1.3103.edge1.mad2.neo.colt.net                                                                    
   4.68.74.134     1273    28.386                         (Madrid, M, ES, EU) Vodafone-level3-Madrid2.Level3.net                                                                  
   ***             *       -inf                                           *** *                                                                                                   
   147.84.200.125  39069   40.243                    (Murcia, Murcia, ES, EU)                                                                                                     
