   116.206.155.229 45117   0.0                   (Ahmedabad, Gujarat, IN, AS)                                                                                                     
   116.206.155.225 45117   0.642                 (Ahmedabad, Gujarat, IN, AS)                                                                                                     
   121.241.90.57   4755    1.423                 (Ahmedabad, Gujarat, IN, AS) 121.241.90.57.static-ahmedabad.vsnl.net.in                                                          
   172.28.176.253  *       9.017                                          ***                                                                                                     
╭─ 180.87.38.5     6453    9.078                         (Mumbai, MH, IN, AS) ix-ae-0-100.tcore1.mlv-mumbai.as6453.net                                                            
S (6453)  imewe 👍 || asia-africa-europe-1-aae-1 ✓ || seamewe-4 👍 || seamewe-3 👍
╰─ 195.219.174.16  6453    128.895   (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) if-be-6-2.ecore1.emrs2-marseille.as6453.net                                                         
   80.231.154.32   6453    129.883             (Paris, Île-de-France, FR, EU) if-bundle-15-2.qcore1.pye-paris.as6453.net                                                          
   80.231.154.24   6453    132.924       (Saint-Denis, Île-de-France, FR, EU) if-ae-13-2.tcore1.pye-paris.as6453.net                                                              
   80.231.153.49   6453    132.417                      (Paris, None, FR, EU) if-ae-11-2.tcore1.pvu-paris.as6453.net                                                              
   130.117.15.69   174     132.521                       (Paris, IDF, FR, EU) be6453.agr21.par04.atlas.cogentco.com                                                               
   154.54.37.237   174     132.877                       (Paris, IDF, FR, EU) be3169.ccr31.par04.atlas.cogentco.com                                                               
   37.187.36.38    16276   132.683                       (None, None, FR, EU) be103-252.par-th2-pb2-nc5.fr.eu                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   213.186.32.214  16276   141.816                       (None, None, FR, EU) be102.gra-g2-nc5.fr.eu                                                                              
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   51.255.243.207  16276   137.528       (Boeschepe, Hauts-de-France, FR, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   145.239.14.84   16276   137.085       (Dunkerque, Hauts-de-France, FR, EU) fr-grv-as16276.anchors.atlas.ripe.net                                                               
