   87.238.48.84    39029   0.0                           (Oslo, Oslo, NO, EU) no-osl-as39029.anchors.atlas.ripe.net                                                               
   87.238.48.81    39029   8.338                         (Oslo, Oslo, NO, EU)                                                                                                     
   87.238.63.0     39029   2.639                         (Oslo, Oslo, NO, EU) lo.c1-osl2.n.bitbit.net                                                                             
   ***             *       -inf                                           *** *                                                                                                   
╭─ 213.248.104.100 1299    1.668                         (Oslo, Oslo, NO, EU) oso-b1-link.ip.twelve99.net                                                                         
S&T (1299)  
╰─ 62.115.116.107  1299    9.345         (Copenhagen, Capital Region, DK, EU) kbn-bb6-link.ip.twelve99.net                                                                        
   62.115.138.113  1299    9.377         (Copenhagen, Capital Region, DK, EU) kbn-b1-link.ip.twelve99.net                                                                         
   62.115.172.5    1299    14.587          (Taastrup, Capital Region, DK, EU) onecomgroup-ic-380844.ip.twelve99-cust.net                                                          
   46.30.208.70    51468   11.745          (Taastrup, Capital Region, DK, EU) ge-0-3-8-499.cr2-cph3.pub.network.one.com                                                           
   46.30.208.71    51468   11.801        (Copenhagen, Capital Region, DK, EU)                                                                                                     
