   45.65.244.254   265721  0.0                  (Sosúa, Puerto Plata, DO, NA) ripeatlas-anchor.cableatlantico.com                                                                 
   45.65.244.253   265721  0.298                (Sosúa, Puerto Plata, DO, NA) linea-dedicada-244-253.cableatlantico.com                                                           
╭─ 200.58.244.30   265721  0.568                (Sosúa, Puerto Plata, DO, NA) puertoplata-100g-244-30.cableatlantico.com                                                          
S (265721, 23520)  
╰─ 69.79.106.82    23520   16.567                    (Miami, Florida, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   154.54.88.233   174     18.184                    (Miami, Florida, US, NA) be3087.ccr22.mia01.atlas.cogentco.com                                                               
   154.54.28.49    174     30.235                       (Atlanta, GA, US, NA) be3483.ccr42.atl01.atlas.cogentco.com                                                               
   154.54.24.221   174     46.582                    (Washington, DC, US, NA) be2113.ccr42.dca01.atlas.cogentco.com                                                               
   154.54.40.109   174     51.956                      (New York, NY, US, NA) be2807.ccr42.jfk02.atlas.cogentco.com                                                               
   154.54.80.2     174     52.259                      (New York, NY, US, NA) be3295.ccr31.jfk05.atlas.cogentco.com                                                               
   154.54.81.202   174     52.753                      (New York, NY, US, NA) be2809.rcr21.b007023-2.jfk05.atlas.cogentco.com                                                     
   38.104.74.170   21700   46.687                       (Oakland, NJ, US, NA) *                                                                                                   
   23.157.160.5    207036  46.507                      (Brooklyn, NY, US, NA) *                                                                                                   
   23.157.160.140  21700   46.79            (New York City, New York, US, NA)                                                                                                     
