   172.93.18.42    1403    0.0                    (Longueuil, Quebec, CA, NA) ca-lon-as1403.anchors.atlas.ripe.net                                                                
   172.93.18.41    1403    0.374                  (Longueuil, Quebec, CA, NA) 1804.ae12.er1.1225stco.yhu.ebox.ca                                                                  
   96.127.249.165  1403    0.711                       (Montreal, QC, CA, NA) 0.ae1.er1.mtl7.yul.ebox.ca                                                                          
   96.127.249.30   1403    0.613                       (Montreal, QC, CA, NA) 0.ae5.er1.mtl3.yul.ebox.ca                                                                          
   38.140.46.217   174     1.328                       (Montreal, QC, CA, NA) be4167.rcr21.ymq02.atlas.cogentco.com                                                               
╭─ 154.54.45.113   174     1.334                       (Montreal, QC, CA, NA) be2089.ccr21.ymq01.atlas.cogentco.com                                                               
S&T (174)  
╰─ 154.54.43.18    174     1.188 (6.197)                    (Albany, NY, US, NA) be2088.ccr21.alb02.atlas.cogentco.com                                                               
   154.54.90.97    174     9.19             (New York City, New York, US, NA) be4076.ccr41.jfk02.atlas.cogentco.com                                                               
   154.54.47.218   174     9.273                       (New York, NY, US, NA) be3294.ccr31.jfk05.atlas.cogentco.com                                                               
   154.54.81.202   174     9.177                       (New York, NY, US, NA) be2809.rcr21.b007023-2.jfk05.atlas.cogentco.com                                                     
   38.104.74.170   21700   8.906                        (Oakland, NJ, US, NA) *                                                                                                   
   23.157.160.5    207036  8.869                       (Brooklyn, NY, US, NA) *                                                                                                   
   23.157.160.140  21700   9.083            (New York City, New York, US, NA)                                                                                                     
