   204.8.154.50    10961   0.0                (Boston, Massachusetts, US, NA) cs-atlas.bu.edu                                                                                     
   128.197.255.155 111     0.803              (Boston, Massachusetts, US, NA)                                                                                                     
   128.197.255.154 111     0.803              (Boston, Massachusetts, US, NA)                                                                                                     
   128.197.254.114 111     3.77               (Boston, Massachusetts, US, NA) comm595-bdr-gw01-gi1-2-comm595-core-aca01-gi2-16.bu.edu                                             
   4.36.227.173    3356    1.299              (Boston, Massachusetts, US, NA) 4-2-3.bear1.boston1.level3.net                                                                      
   ***             *       -inf                                           *** *                                                                                                   
   154.54.46.34    174     8.098                       (New York, NY, US, NA) be3472.ccr42.jfk02.atlas.cogentco.com                                                               
   154.54.80.2     174     9.003                       (New York, NY, US, NA) be3295.ccr31.jfk05.atlas.cogentco.com                                                               
   154.54.81.202   174     8.223                       (New York, NY, US, NA) be2809.rcr21.b007023-2.jfk05.atlas.cogentco.com                                                     
   38.104.74.170   21700   8.49                         (Oakland, NJ, US, NA) *                                                                                                   
   23.157.160.5    207036  7.304                       (Brooklyn, NY, US, NA) *                                                                                                   
   23.157.160.140  21700   7.179            (New York City, New York, US, NA)                                                                                                     
