   213.158.113.5   13101   0.0                     (Hamburg, Hamburg, DE, EU) ripe-anchor.gallifrey.tng.de                                                                        
   213.158.113.28  13101   0.244           (Kiel, Schleswig-Holstein, DE, EU)                                                                                                     
   82.97.188.3     13101   0.432           (Kiel, Schleswig-Holstein, DE, EU) kel1.tng.de                                                                                         
   213.178.75.134  13101   0.802           (Kiel, Schleswig-Holstein, DE, EU) kel1.tng.de                                                                                         
   213.178.80.33   13101   0.694 (2.794)              (Hamburg, Hamburg, DE, EU) ham1.tng.de                                                                                         
   213.178.80.65   13101   8.683              (Frankfurt am Main, HE, DE, EU) fra1.tng.de                                                                                         
   213.178.75.197  13101   8.508              (Frankfurt am Main, HE, DE, EU) fra3.tng.de                                                                                         
╭─ 80.255.15.21    201011  8.779           (Frankfurt am Main, Hesse, DE, EU) ae22-447.fra10.core-backbone.com                                                                    
LHL (201011)  apollo ✘ || flag-atlantic-1-fa-1 ✘
╰─ 5.56.20.102     201011  86.44                       (New York, NY, US, NA) ae11-2093.nyk10.core-backbone.com                                                                   
   198.32.160.58   21700   87.792               (New York City, NY, US, None) nyiix.neptunenetworks.org                                                                           
   23.157.160.5    207036  87.777                      (Brooklyn, NY, US, NA) *                                                                                                   
   23.157.160.140  21700   87.91            (New York City, New York, US, NA)                                                                                                     
