   124.157.73.186  24324   0.0        (Wellington, Wellington Region, NZ, OC)                                                                                                     
   124.157.73.185  24324   2.045      (Wellington, Wellington Region, NZ, OC)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   124.157.114.134 24324   8.461                 (Auckland, Auckland, NZ, OC) int-prm.tvc.kordia.net.nz                                                                           
   202.50.236.5    *       9.417                 (Auckland, Auckland, NZ, OC) ae9-141.tkbr11.global-gateway.net.nz                                                                
   203.96.120.93   4648    11.078                        (None, None, NZ, OC) *                                                                                                   
╭─ 122.56.119.130  *       35.741                (Auckland, Auckland, NZ, OC) xe7-0-3.sebr3.global-gateway.net.nz                                                                 
S ()  
╰─ 218.100.52.213  *       33.915           (Sydney, New South Wales, AU, OC) as16276.nsw.ix.asn.au                                                                               
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   72.251.0.10     16276   35.977           (Sydney, New South Wales, AU, OC)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   139.99.219.16   16276   33.906           (Sydney, New South Wales, AU, OC) au-syd-as16276.anchors.atlas.ripe.net                                                               
