   185.32.189.249  62416   0.0                     (Odivelas, Lisbon, PT, EU) pt-lis-as62416.anchors.atlas.ripe.net                                                               
   185.32.188.254  62416   13.527               (Prior Velho, Lisbon, PT, EU) powered.by.ptservidor.pt                                                                            
   185.222.11.3    62416   0.836                (Prior Velho, Lisbon, PT, EU) core.br01.lis1.ptservidor.net                                                                       
╭─ 193.136.250.35  766     9.694                       (Lisbon, 14, PT, None) REDIRIS.AS766.gigapix.pt                                                                            
S&T (766)  
╰─ 130.206.245.125 766     19.385                        (None, None, ES, EU) cica.rt2.ethtrunk4.telmad.rt1.mad.red.rediris.es                                                    
   130.206.216.2   766     19.471                        (None, None, ES, EU) redimadrid-backup-router.red.rediris.es                                                             
   193.145.15.50   766     21.526                        (None, None, ES, EU) uc3m-rt-ju-01-xe-0-1-0.net.redimadrid.es                                                            
   ***             *       -inf                                           *** *                                                                                                   
   163.117.49.4    766     19.888                        (Madrid, MD, ES, EU) b01014zr.uc3m.es                                                                                    
   163.117.253.5   766     20.504                    (Madrid, Madrid, ES, EU)                                                                                                     
