   185.150.253.30  52039   0.0                     (Rennes, Brittany, FR, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   95.81.129.208   43646   12.957              (Paris, Île-de-France, FR, EU) tip-telh-r00.as43646.net                                                                            
   149.6.165.25    174     13.181              (Paris, Île-de-France, FR, EU) be5146.agr21.par04.atlas.cogentco.com                                                               
   154.54.61.33    174     13.374                        (Paris, IDF, FR, EU) be2151.ccr32.par04.atlas.cogentco.com                                                               
╭─ 154.54.61.21    174     13.643                        (Paris, IDF, FR, EU) be2103.ccr42.par01.atlas.cogentco.com                                                               
S&T (174)  
╰─ 154.54.61.117   174     26.066                        (Bilbao, PV, ES, EU) be2318.ccr32.bio02.atlas.cogentco.com                                                               
   154.54.61.134   174     30.375                         (Madrid, M, ES, EU) be2325.ccr32.mad05.atlas.cogentco.com                                                               
   130.117.0.218   174     30.762                         (Madrid, M, ES, EU) be2475.rcr51.b015537-1.mad05.atlas.cogentco.com                                                     
   149.14.241.18   174     30.553                    (Madrid, Madrid, ES, EU)                                                                                                     
   130.206.216.2   766     30.829                        (None, None, ES, EU) redimadrid-backup-router.red.rediris.es                                                             
   193.145.15.50   766     31.043                        (None, None, ES, EU) uc3m-rt-ju-01-xe-0-1-0.net.redimadrid.es                                                            
   ***             *       -inf                                           *** *                                                                                                   
   163.117.49.4    766     31.545                        (Madrid, MD, ES, EU) b01014zr.uc3m.es                                                                                    
   163.117.253.5   766     31.577                    (Madrid, Madrid, ES, EU)                                                                                                     
