   37.46.78.66     15699   0.0            (Alcalá de Henares, Madrid, ES, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   37.46.78.25     15699   0.378          (Alcalá de Henares, Madrid, ES, EU)                                                                                                     
   87.236.216.225  15699   1.086          (Alcalá de Henares, Madrid, ES, EU)                                                                                                     
   87.236.216.218  15699   10.444                        (None, None, ES, EU) *                                                                                                   
   185.11.200.18   15699   10.386                     (Barcelona, CT, ES, EU) *                                                                                                   
   193.242.98.19   *       18.523              (Barcelona, Catalonia, ES, EU) rediris.01.catnix.net                                                                               
   130.206.245.94  766     26.021                        (None, None, ES, EU) unizar.rt2.ae6-323.telmad.rt4.mad.red.rediris.es                                                    
   130.206.245.49  766     13.847                        (None, None, ES, EU) TELMAD.RT3.ETHTRUNK3.telmad.rt1.mad.red.rediris.es                                                  
   130.206.216.2   766     14.04                         (None, None, ES, EU) redimadrid-backup-router.red.rediris.es                                                             
   193.145.15.50   766     14.441                        (None, None, ES, EU) uc3m-rt-ju-01-xe-0-1-0.net.redimadrid.es                                                            
   ***             *       -inf                                           *** *                                                                                                   
   163.117.49.4    766     15.465                        (Madrid, MD, ES, EU) b01014zr.uc3m.es                                                                                    
   163.117.253.5   766     15.492                    (Madrid, Madrid, ES, EU)                                                                                                     
