   212.45.159.245  8816    0.0                      (Milan, Lombardy, IT, EU) it-mil-as8816.anchors.atlas.ripe.net                                                                
   212.45.159.246  8816    0.926                    (Milan, Lombardy, IT, EU) asr-luc1-gi7.metrolink.it                                                                           
   212.45.137.158  8816    0.956                    (Milan, Lombardy, IT, EU) asr-sal1-te25.metrolink.it                                                                          
   212.45.137.190  8816    1.307                    (Milan, Lombardy, IT, EU) br-mix-te12.metrolink.it                                                                            
   212.45.159.5    8816    1.244                         (Milan, 9, IT, None) br-see-fo21.metrolink.it                                                                            
╭─ 213.242.125.45  3356    1.86                     (Milan, Lombardy, IT, EU)                                                                                                     
S&T (3356)  janna © ↠ flag-europe-asia-fea © || janna © ↠ seamewe-3 ✓
╰─ 171.75.8.105    3356    21.908                    (Madrid, Madrid, ES, EU) ae2.3202.edge1.mad1.neo.colt.net                                                                    
   213.242.114.122 3356    22.73                     (Madrid, Madrid, ES, EU) serveisweb.bar2.barcelona1.level3.net                                                               
   130.206.245.25  766     24.276                        (None, None, ES, EU) ciemat.rt2.ethtrunk1.telmad.rt1.mad.red.rediris.es                                                  
   130.206.216.2   766     24.415                        (None, None, ES, EU) redimadrid-backup-router.red.rediris.es                                                             
   193.145.15.50   766     24.731                        (None, None, ES, EU) uc3m-rt-ju-01-xe-0-1-0.net.redimadrid.es                                                            
   ***             *       -inf                                           *** *                                                                                                   
   163.117.49.4    766     25.193                        (Madrid, MD, ES, EU) b01014zr.uc3m.es                                                                                    
   163.117.253.5   766     25.483                    (Madrid, Madrid, ES, EU)                                                                                                     
