   87.253.184.92   35258   0.0                     (Hamburg, Hamburg, DE, EU) de-ham-as35258.akqui.net                                                                            
   87.253.184.90   35258   0.497                   (Hamburg, Hamburg, DE, EU) ae-10-380.pe-fbrc3.ham02.de.akqui.net                                                               
   185.102.104.222 *       0.442                   (Hamburg, Hamburg, DE, EU) et-0-0-8.p-backbone1.ham02.de.akqui.net                                                             
   185.102.104.190 *       0.763                   (Hamburg, Hamburg, DE, EU) ae-2.p-backbone1.nor01.de.akqui.net                                                                 
   185.102.104.113 *       0.818                   (Hamburg, Hamburg, DE, EU) et-0-0-0.pe-irxc2.ham42.de.akqui.net                                                                
   80.81.192.98    24940   6.971             (Frankfurt am Main, 5, DE, None) decix3-gw.hetzner.com                                                                               
╭─ 213.239.224.165 24940   26.864                        (None, None, DE, EU) core31.hel1.hetzner.com                                                                             
S (24940)  
╰─ 213.239.228.10  24940   26.792                 (Helsinki, Uusimaa, FI, EU) spine16.cloud1.hel1.hetzner.com                                                                     
   213.239.228.50  24940   32.168                 (Helsinki, Uusimaa, FI, EU) spine2.cloud1.hel1.hetzner.com                                                                      
   ***             *       -inf                                           *** *                                                                                                   
   95.216.132.233  24940   26.849                      (Helsinki, 18, FI, EU) 15272.your-cloud.host                                                                               
   95.217.19.69    24940   27.172                 (Helsinki, Uusimaa, FI, EU) fi-tuu-as24940-client.anchors.atlas.ripe.net                                                        
