   193.180.242.86  199150  0.0                     (Solna, Stockholm, SE, EU)                                                                                                     
   193.180.242.85  199150  0.989 (13.783)          (Stockholm, Stockholm, SE, EU)                                                                                                     
   193.180.242.92  199150  0.632               (Stockholm, Stockholm, SE, EU)                                                                                                     
   192.121.80.78   24940   0.726                         (None, None, SE, EU) as24940-100g-ix1.sthix.net                                                                          
╭─ 213.239.252.69  24940   0.825               (Stockholm, Stockholm, SE, EU) core52.sto.hetzner.com                                                                              
S&T (24940)  eastern-light ✘ || bcs-north---phase-1 ✓ || sweden-finland-4-sfs-4 ✓ || baltic-sea-submarine-cable ✘ || botnia ✓
╰─ 213.239.254.65  24940   7.106                  (Helsinki, Uusimaa, FI, EU) core32.hel1.hetzner.com                                                                             
   213.239.228.6   24940   395.463                (Helsinki, Uusimaa, FI, EU) spine15.cloud1.hel1.hetzner.com                                                                     
   213.239.228.22  24940   7.638                  (Helsinki, Uusimaa, FI, EU) spine1.cloud1.hel1.hetzner.com                                                                      
   ***             *       -inf                                           *** *                                                                                                   
   95.216.132.233  24940   7.456                       (Helsinki, 18, FI, EU) 15272.your-cloud.host                                                                               
   95.217.19.69    24940   7.977                  (Helsinki, Uusimaa, FI, EU) fi-tuu-as24940-client.anchors.atlas.ripe.net                                                        
