   85.233.1.54     29505   0.0           (Lübeck, Schleswig-Holstein, DE, EU) de-lbc-as29505.anchors.atlas.ripe.net                                                               
   85.233.1.50     29505   0.367         (Lübeck, Schleswig-Holstein, DE, EU) svi9.rt-core-lbc-nls-01.net.glasfaser.swhl.de                                                       
   85.233.1.3      29505   0.306         (Lübeck, Schleswig-Holstein, DE, EU) et-0-0-1-0.rt-edge-lbc-sue-01.net.glasfaser.swhl.de                                                 
   80.81.192.98    24940   7.405             (Frankfurt am Main, 5, DE, None) decix3-gw.hetzner.com                                                                               
╭─ 213.239.224.169 24940   27.246                        (None, None, DE, EU) core32.hel1.hetzner.com                                                                             
S (24940)  
╰─ 213.239.228.14  24940   27.388                 (Helsinki, Uusimaa, FI, EU) spine16.cloud1.hel1.hetzner.com                                                                     
   213.239.228.46  24940   28.006                 (Helsinki, Uusimaa, FI, EU) spine1.cloud1.hel1.hetzner.com                                                                      
   ***             *       -inf                                           *** *                                                                                                   
   95.216.132.233  24940   27.574                      (Helsinki, 18, FI, EU) 15272.your-cloud.host                                                                               
   95.217.19.69    24940   27.569                 (Helsinki, Uusimaa, FI, EU) fi-tuu-as24940-client.anchors.atlas.ripe.net                                                        
