   194.1.149.210   42409   0.0                       (Tirana, Tirana, AL, EU)                                                                                                     
   194.1.149.238   42409   0.521                     (Tirana, Tirana, AL, EU)                                                                                                     
   194.1.149.249   42409   0.81                      (Tirana, Tirana, AL, EU)                                                                                                     
   217.24.245.21   42313   2.164                     (Tirana, Tirana, AL, EU)                                                                                                     
╭─ 149.14.98.81    174     1.931                     (Tirana, Tirana, AL, EU) be5578.rcr51.tia01.atlas.cogentco.com                                                               
S&T (174)  adria-1 ©
╰─ 154.54.59.229   174     13.735                        (Athens, A1, GR, EU) be2023.rcr21.ath01.atlas.cogentco.com                                                               
   213.144.178.115 6762    19.103                    (Athens, Attica, GR, EU) fastpath-115.atene6.ate.seabone.net                                                                 
   185.201.254.27  56457   19.765               (Metamórfosi, Attica, GR, EU) be3502.ef2.ath01.fastpath.gr                                                                        
   185.201.254.39  56457   19.434               (Metamórfosi, Attica, GR, EU) te1-24.sp1.ath01.fastpath.gr                                                                        
   176.119.210.244 56457   19.422                    (Athens, Attica, GR, EU)                                                                                                     
