   185.78.49.100   201333  0.0             (Piacenza, Emilia-Romagna, IT, EU) it-pcz-as201333.anchors.atlas.ripe.net                                                              
   185.78.49.5     201333  0.249            (Gerbido, Emilia-Romagna, IT, EU) lf01b5-vlan902.pia1.naquadria.net                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   185.78.48.20    201333  1.448                    (Milan, Lombardy, IT, EU) ens2f4-r01.mil1d.naquadria.net                                                                      
╭─ 195.22.196.120  6762    1.74             (Gerbido, Emilia-Romagna, IT, EU) et0-0-2-0.milano81.mil.seabone.net                                                                  
S&T (6762)  oteglobe-kokkini-bari ✘ || mednautilus-submarine-system 👍 || italy-greece-1 ✘
╰─ 213.144.178.67  6762    65.068                    (Athens, Attica, GR, EU) ae10.atene6.ate.seabone.net                                                                         
   213.144.178.114 6762    49.596                    (Athens, Attica, GR, EU) fastpath-114.atene6.ate.seabone.net                                                                 
   185.201.254.27  56457   49.515               (Metamórfosi, Attica, GR, EU) be3502.ef2.ath01.fastpath.gr                                                                        
   185.201.254.39  56457   47.814               (Metamórfosi, Attica, GR, EU) te1-24.sp1.ath01.fastpath.gr                                                                        
   176.119.210.244 56457   47.691                    (Athens, Attica, GR, EU)                                                                                                     
