   5.158.64.189    199181  0.0                (Battipaglia, Campania, IT, EU)                                                                                                     
   5.158.64.129    199181  0.536            (Torre dei Rai, Campania, IT, EU)                                                                                                     
   5.158.64.237    199181  0.57             (Torre dei Rai, Campania, IT, EU)                                                                                                     
   77.39.128.5     199181  0.637            (Torre dei Rai, Campania, IT, EU)                                                                                                     
╭─ 89.221.32.36    6762    0.617 (5.352)                   (Rome, Lazio, IT, EU) et0-0-32-0.roma54.rom.seabone.net                                                                   
S&T (6762)  oteglobe-kokkini-bari ✘ || mednautilus-submarine-system 👍 || italy-greece-1 ✘
╰─ 213.144.178.67  6762    51.826                    (Athens, Attica, GR, EU) ae10.atene6.ate.seabone.net                                                                         
   149.11.120.67   174     48.778               (Metamórfosi, Attica, GR, EU) fastpath2.demarc.cogentco.com                                                                       
   185.201.254.27  56457   48.878               (Metamórfosi, Attica, GR, EU) be3502.ef2.ath01.fastpath.gr                                                                        
   185.201.254.39  56457   49.149               (Metamórfosi, Attica, GR, EU) te1-24.sp1.ath01.fastpath.gr                                                                        
   176.119.210.244 56457   49.29                     (Athens, Attica, GR, EU)                                                                                                     
