   146.255.64.30   34547   0.0                  (Skopje, Grad Skopje, MK, EU)                                                                                                     
   146.255.64.29   34547   0.718              (Krušopek, Grad Skopje, MK, EU)                                                                                                     
   149.11.98.21    174     1.207              (Krušopek, Grad Skopje, MK, EU) be4276.rcr11.b028988-0.skp03.atlas.cogentco.com                                                     
╭─ 154.25.3.249    174     0.943              (Krušopek, Grad Skopje, MK, EU) be2329.rcr51.skp03.atlas.cogentco.com                                                               
T (174)  
╰─ 130.117.2.182   174     0.968 (4.583)              (Thessaloniki, 54, GR, EU) be3597.rcr51.skg01.atlas.cogentco.com                                                               
   154.54.37.142   174     11.283                    (Athens, Attica, GR, EU) be2047.rcr21.ath01.atlas.cogentco.com                                                               
   149.11.120.67   174     10.765               (Metamórfosi, Attica, GR, EU) fastpath2.demarc.cogentco.com                                                                       
   185.201.254.29  56457   10.699                (Áno Liósia, Attica, GR, EU) be3501.ef1.ath01.fastpath.gr                                                                        
   185.201.254.33  56457   10.951                (Áno Liósia, Attica, GR, EU) te1-22.sp0.ath01.fastpath.gr                                                                        
   176.119.210.244 56457   10.83                     (Athens, Attica, GR, EU)                                                                                                     
