   193.49.43.151   2200    0.0       (Grenoble, Auvergne-Rhône-Alpes, FR, EU)                                                                                                     
   193.49.43.99    2200    0.774     (Fontaine, Auvergne-Rhône-Alpes, FR, EU) rteie.epn-campus.eu                                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   193.54.185.9    2200    3.48      (Fontaine, Auvergne-Rhône-Alpes, FR, EU) tigre1.grenet.fr                                                                                    
   193.51.181.94   2200    1.064     (Fontaine, Auvergne-Rhône-Alpes, FR, EU) hu0-2-0-2-ren-nr-grenoble-rtr-091.noc.renater.fr                                                    
   193.55.204.14   2200    8.643     (Grenoble, Auvergne-Rhône-Alpes, FR, EU) hu0-3-0-3-ren-nr-lyon2-rtr-091.noc.renater.fr                                                       
   193.51.177.238  2200    8.655               (Paris, Île-de-France, FR, EU) et-5-3-1-ren-nr-paris2-rtr-131.noc.renater.fr                                                       
╭─ 37.49.238.47    *       19.526              (Paris, Île-de-France, FR, EU) fibertelecom.par.franceix.net                                                                       
S&T (, 41327)  seamewe-5 ✘ || seamewe-4 ✘ || imewe ✘
╰─ 185.157.228.37  41327   41.213                       (Rome, Lazio, IT, EU) 37-228-157-185.fibertelecom.it                                                                      
   185.157.231.49  41327   40.882                   (Palermo, Sicily, IT, EU) 49-231-157-185.fibertelecom.it                                                                      
