   185.5.201.10    59715   0.0       (San Benedetto del Tronto, The Marches, IT, EU) p6496.probes.atlas.ripe.net                                                                         
   185.5.200.255   59715   0.411     (San Benedetto del Tronto, The Marches, IT, EU) ge02-sbtap01-a.as59715.net                                                                          
   89.221.32.156   6762    6.652                        (Rome, Lazio, IT, EU) ge-11-1-3.roma1.rom.seabone.net                                                                     
   195.22.196.71   6762    15.477                         (Milan, 25, IT, EU) ae1.milano52.mil.seabone.net                                                                        
   213.144.167.19  6762    15.639                   (Milan, Lombardy, IT, EU) vox-167-19.mil.seabone.net                                                                          
   ***             *       -inf                                           *** *                                                                                                   
   62.196.8.238    5602    15.104                (Vigolo Vattaro, 32, IT, EU) *                                                                                                   
   109.168.0.173   5602    15.407                          (Lodi, 25, IT, EU) cr2-tenge0-0-0-0-cal2.mil.kpnqwest.it                                                               
   109.168.0.14    5602    15.148                          (Lodi, 25, IT, EU) cr2-hunge0-0-1-1-cal4.mil.kpnqwest.it                                                               
   94.141.0.142    5602    15.701                          (Rome, 62, IT, EU) cs2-xe-1-1-0-0-cal4.mil.kpnqwest.it                                                                 
   109.168.125.243 5602    15.201                   (Milan, Lombardy, IT, EU) 243.125.168.109.host.static.ip.kpnqwest.it                                                          
