   185.119.168.5   197422  0.0                  (Toulouse, Occitanie, FR, EU) anchor.tetaneutral.net                                                                              
   185.119.168.4   197422  0.208                (Toulouse, Occitanie, FR, EU) 185-119-168-4.tetaneutral.net                                                                       
   ***             *       -inf                                           *** *                                                                                                   
   154.54.56.133   174     5.611     (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) be2758.ccr31.mrs02.atlas.cogentco.com                                                               
╭─ 154.54.56.65    174     10.658            (Bordeaux/Merignac, NAQ, FR, EU) be2840.rcr21.bod01.atlas.cogentco.com                                                               
S&T (174)  
╰─ 154.54.57.93    174     17.107                       (Rome, Lazio, IT, EU) be2749.rcr51.rom01.atlas.cogentco.com                                                               
   149.6.23.43     174     16.961                       (Rome, Lazio, IT, EU)                                                                                                     
   37.32.106.87    *       16.81                     (Pomezia, Lazio, IT, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   37.32.106.145   *       24.134                   (Milan, Lombardy, IT, EU)                                                                                                     
   37.32.107.91    *       24.133                   (Milan, Lombardy, IT, EU)                                                                                                     
   62.196.8.238    5602    24.149                (Vigolo Vattaro, 32, IT, EU) *                                                                                                   
   109.168.0.173   5602    24.439                          (Lodi, 25, IT, EU) cr2-tenge0-0-0-0-cal2.mil.kpnqwest.it                                                               
   109.168.0.14    5602    24.147                          (Lodi, 25, IT, EU) cr2-hunge0-0-1-1-cal4.mil.kpnqwest.it                                                               
   94.141.0.138    5602    25.224                          (Rome, 62, IT, EU) cs1-xe-1-1-2-0-cal4.mil.kpnqwest.it                                                                 
   109.168.125.243 5602    24.142                   (Milan, Lombardy, IT, EU) 243.125.168.109.host.static.ip.kpnqwest.it                                                          
