   204.15.11.34    13331   0.0                   (SeaTac, Washington, US, NA)                                                                                                     
   204.15.11.3     13331   16.544               (Seattle, Washington, US, NA) irb-1099.c8cc.sea.metapeer.com                                                                      
   207.229.73.33   13331   0.364                (Seattle, Washington, US, NA) ae0-982.c8br.sea.metapeer.com                                                                       
   76.74.43.221    3257    0.511                (Seattle, Washington, US, NA) et-2-0-31.cr5-sea2.ip4.gtt.net                                                                      
   89.149.141.29   3257    22.645                      (San Jose, CA, US, NA) ae27.cr2-sjc1.ip4.gtt.net                                                                           
   173.205.49.222  4637    23.136                      (San Jose, CA, US, NA) ip4.gtt.net                                                                                         
   202.84.251.58   4637    204.066             (San Jose, California, US, NA) i-1039.paix-core02.telstraglobal.net                                                                
╭─ 202.84.251.58   4637    204.066             (San Jose, California, US, NA) i-1039.paix-core02.telstraglobal.net                                                                
S (4637)  
╰─ 202.84.136.5    4637    201.074          (Sydney, New South Wales, AU, OC) i-20107.sydp-core03.telstraglobal.net                                                               
   203.50.13.85    1221    199.787                      (Sydney, NSW, AU, OC) bundle-ether3.pad-gw10.sydney.telstra.net                                                           
   203.50.6.119    1221    201.685          (Sydney, New South Wales, AU, OC) bundle-ether6.hay-core30.sydney.telstra.net                                                         
   203.50.11.173   1221    201.787                      (Sydney, NSW, AU, OC) bundle-ether1.ken-edge903.sydney.telstra.net                                                        
   203.54.232.146  64098   201.718                       (Medina, WA, AU, OC) ipt3430781.lnk.telstra.net                                                                          
   59.153.9.245    138466  211.105                      (Sydney, NSW, AU, OC) *                                                                                                   
   103.126.52.196  138466  211.634                       (None, None, AU, OC) vl129-bo0.pauseq4rbdr2.datamossa.io                                                                 
   103.126.52.180  138466  212.021          (Sydney, New South Wales, AU, OC) as138466.anchors.atlas.ripe.net                                                                     
