   63.218.212.242  3491    0.0               (El Segundo, California, US, NA) yomura.ge-0-0-0-10.br03.lax05.as3491.net                                                            
   63.218.212.241  3491    0.62             (Los Angeles, California, US, NA) ge-0-0-0-10.br03.lax05.as3491.net                                                                   
╭─ 63.222.112.51   3491    0.495            (Los Angeles, California, US, NA)                                                                                                     
S (3491, 38195)  hawaiki ✘ || southern-cross-cable-network-sccn ✓ || southern-cross-next ✓
╰─ 103.200.13.155  38195   157.653                       (None, None, AU, OC) bundle-ether25-225.bdr01-ipt-55smarke-sjc.us.superloop.net.co                                       
   103.200.13.187  *       157.573          (Sydney, New South Wales, AU, OC)                                                                                                     
   203.153.18.99   9336    157.606                      (Sydney, NSW, AU, OC) *                                                                                                   
   202.90.50.69    9336    157.739               (Upper Coomera, QLD, AU, OC) te0-1-6-2.cr-01.gbsw.nsw.spirit.net.au                                                              
   103.126.52.172  138466  157.81                        (None, None, AU, OC) vl450-dp0s18-pauseq4rbdr7.datamossa.io                                                              
   103.126.52.196  138466  158.0                         (None, None, AU, OC) vl129-bo0.pauseq4rbdr2.datamossa.io                                                                 
   103.126.52.180  138466  158.029          (Sydney, New South Wales, AU, OC) as138466.anchors.atlas.ripe.net                                                                     
