   103.170.232.152 142616  0.0                         (Tokyo, Tokyo, JP, AS) user-103-170-232-152.nrt04.jp.misaka.io                                                             
   ***             *       -inf                                           *** *                                                                                                   
   103.170.232.3   142616  0.278                       (Tokyo, Tokyo, JP, AS) spine2.nrt04.jp.misaka.io                                                                           
   199.119.64.138  969     0.213                       (Tokyo, Tokyo, JP, AS) e54-10.cr1a.eqty8.nrt4.jp.917.as                                                                    
   199.119.64.95   969     0.228                       (Tokyo, Tokyo, JP, AS) po100.cr2a.eqty8.nrt4.jp.917.as                                                                     
   84.17.33.106    60068   0.235                       (Tokyo, Tokyo, JP, AS) po66-3518.cr01.nrt04.jp.misaka.io                                                                   
╭─ 101.203.88.24   *       1.136                       (Tokyo, Tokyo, JP, AS)                                                                                                     
S (, 38195)  australia-japan-cable-ajc ✘
╰─ 103.200.13.198  38195   100.47                        (None, None, AU, OC) bundle-ether34-172.bdr02-ipt-4edenpar-syd.au.superloop.net.co                                       
   103.200.13.69   38195   100.22                       (Sydney, NSW, AU, OC) bundle-ether33.bdr01-ipt-4edenpar-syd.au.superloop.net.co                                           
   203.153.18.99   9336    100.309                      (Sydney, NSW, AU, OC) *                                                                                                   
   202.90.50.59    9336    100.402               (Upper Coomera, QLD, AU, OC) te0-0-6-2.cr-01.gbsw.nsw.spirit.net.au                                                              
   103.126.52.172  138466  100.483                       (None, None, AU, OC) vl450-dp0s18-pauseq4rbdr7.datamossa.io                                                              
   103.126.52.196  138466  100.76                        (None, None, AU, OC) vl129-bo0.pauseq4rbdr2.datamossa.io                                                                 
   103.126.52.180  138466  101.03           (Sydney, New South Wales, AU, OC) as138466.anchors.atlas.ripe.net                                                                     
