   103.215.229.229 140443  0.0                  (Surabaya, East Java, ID, AS) 229.229.215.103.in-addr.herza.id                                                                    
   103.215.229.1   140443  0.17          (Gubengairlangga, East Java, ID, AS)                                                                                                     
   103.215.228.1   140443  0.189         (Gubengairlangga, East Java, ID, AS) 1.228.215.103.in-addr.herza.id                                                                      
╭─ 36.64.254.21    7713    8.98          (Gubengairlangga, East Java, ID, AS)                                                                                                     
S&T (7713)  
╰─ 180.240.193.93  7713    18.603              (Singapore, Singapore, SG, AS)                                                                                                     
   180.240.193.93  7713    18.603              (Singapore, Singapore, SG, AS)                                                                                                     
   180.240.204.85  7713    20.228                    (Singapore, 1, SG, None) *                                                                                                   
   180.240.204.85  7713    20.228                    (Singapore, 1, SG, None) *                                                                                                   
   180.87.67.45    6453    19.935              (Singapore, Singapore, SG, AS) ix-be-10.ecore1.svw-singapore.as6453.net                                                            
   ***             *       -inf                                           *** *                                                                                                   
   63.243.180.65   6453    20.188              (Singapore, Singapore, SG, AS) if-bundle-19-2.qcore1.esin4-singapore.as6453.net                                                    
╭─ 180.87.107.225  6453    20.562              (Singapore, Singapore, SG, AS) if-be-33-2.ecore1.esin4-singapore.as6453.net                                                        
S (6453, 7545)  
╰─ 203.219.57.13   7545    143.051             (North Melbourne, VIC, AU, OC) nme-apt-bur-crt1-be60.tpgi.com.au                                                                   
   202.7.171.173   7545    141.621          (Sydney, New South Wales, AU, OC) syd-gls-har-crt1-be-10.tpgi.com.au                                                                  
   203.221.3.7     7545    141.082                      (Sydney, NSW, AU, OC) syd-gls-har-wgw1-be-100.tpgi.com.au                                                                 
   203.219.58.101  7545    141.751          (Sydney, New South Wales, AU, OC) 203-219-58-101.tpgi.com.au                                                                          
   202.10.14.56    2764    141.554          (Sydney, New South Wales, AU, OC) test-56.testbrdr01.aapt.net.au                                                                      
   61.29.91.254    2764    114.36           (Sydney, New South Wales, AU, OC) dsl-61-29-91-254.request.com.au                                                                     
   120.88.72.223   7594    114.021          (Sydney, New South Wales, AU, OC) ip-120-88-72-223.ptr.onq.net                                                                        
   202.90.50.107   9336    114.008               (Upper Coomera, QLD, AU, OC) te0-0-3-2.cr-01.eqs2.nsw.spirit.net.au                                                              
   103.126.52.162  138466  114.581                       (None, None, AU, OC) vl450-dp0s18-pauseq4rbdr7datamossa.io                                                               
   103.126.52.196  138466  114.479                       (None, None, AU, OC) vl129-bo0.pauseq4rbdr2.datamossa.io                                                                 
   103.126.52.180  138466  115.092          (Sydney, New South Wales, AU, OC) as138466.anchors.atlas.ripe.net                                                                     
