   192.168.0.130   *       0.0                                            ***                                                                                                     
   192.168.0.1     *       0.152                                          ***                                                                                                     
   172.16.254.1    *       0.194                                          ***                                                                                                     
   192.168.1.1     *       0.559                                          ***                                                                                                     
   212.156.233.254 47331   0.464 (2.109)                     (Ankara, 6, TR, AS) 212.156.233.254.static.turktelekom.com.tr                                                           
   10.0.0.78       *       8.43                                           ***                                                                                                     
   81.212.78.45    9121    5.17                      (Ankara, Ankara, TR, AS) 81.212.78.45.static.turktelekom.com.tr                                                              
   81.212.216.50   9121    5.336              (Sultanbeyli, Istanbul, TR, AS) 34-acibadem-xrs-t2-1---34-acibadem-sr12e-t3-8.statik.turktelekom.com.tr                             
   81.212.206.168  9121    6.208                         (None, None, TR, AS) 00-atakoy-xrs-t2-1---34-acibadem-xrs-t2-1.statik.turktelekom.com.tr                                 
   212.156.120.131 9121    5.587                         (None, None, TR, AS) 00-atakoy-sr12e-t3-7---00-atakoy-xrs-t2-1.statik.turktelekom.com.tr                                 
   46.31.76.82     *       5.692             (Bahçelievler, Istanbul, TR, AS) turktelekom-atakoy.comnet.com.tr                                                                    
   46.31.76.84     *       6.413                 (Istanbul, Istanbul, TR, AS) mx960_ae1--i421--atakoy_a0-mx204.comnet.com.tr                                                      
   46.31.76.46     61135   6.227                         (None, None, TR, AS) protectme-ddos-LT.secureuplink.com.tr                                                               
   46.31.76.21     61135   6.233                         (None, None, TR, AS) protectme-ddos-ntd2.secureuplink.com.tr                                                             
   46.31.76.29     *       6.782                 (Istanbul, Istanbul, TR, AS) q10k2-1_a11--i531--mx_a1.comnet.com.tr                                                              
   ***             *       -inf                                           *** *                                                                                                   
   185.17.112.95   61135   6.028             (Bahçelievler, Istanbul, TR, AS) with-meanings.pinkrestful.com                                                                       
