   103.121.34.150  138398  0.0                   (Auckland, Auckland, NZ, OC) 103-121-34-150.netbydesign.nz                                                                       
   103.121.34.131  138398  0.226                 (Auckland, Auckland, NZ, OC) eth2.vrt2.akl.netbydesign.nz                                                                        
   103.130.69.89   138398  0.25                  (Auckland, Auckland, NZ, OC) 103-130-69-89.netbydesign.nz                                                                        
   103.216.222.21  136557  0.217                 (Auckland, Auckland, NZ, OC) core.220q.nz.hostuniversal.com.au                                                                   
   210.176.42.24   4637    0.803                 (Auckland, Auckland, NZ, OC) unknown.telstraglobal.net                                                                           
╭─ 202.84.223.33   4637    0.631 (1.764)            (Auckland, Auckland, NZ, OC) i-92.tauc-core02.telstraglobal.net                                                                  
S (4637)  southern-cross-cable-network-sccn 👍 || southern-cross-next 👍
╰─ 202.84.138.82   4637    125.679          (Los Angeles, California, US, NA)                                                                                                     
   202.84.138.82   4637    125.679          (Los Angeles, California, US, NA)                                                                                                     
   202.40.149.177  4637    125.319                  (Los Angeles, CA, US, NA) i-91.tlot02.telstraglobal.net                                                                       
   134.159.61.106  4637    141.032             (San Jose, California, US, NA) l3-peer.eqnx03.pr.telstraglobal.net                                                                 
   4.69.206.169    3356    166.797                       (Dallas, TX, US, NA) ae2.3609.edge2.Dallas2.level3.net                                                                   
   4.14.135.90     19750   167.783                       (Dallas, TX, US, NA) CRITEO.edge2.Dallas2.Level3.net                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   74.119.118.196  19750   172.881                    (Dallas, Texas, US, NA)                                                                                                     
   74.119.118.17   19750   172.907                    (Dallas, Texas, US, NA)                                                                                                     
