   45.79.110.82    63949   0.0                  (Fremont, California, US, NA) li1209-82.members.linode.com                                                                        
   23.92.24.3      63949   0.819                (Fremont, California, US, NA)                                                                                                     
   173.230.159.82  63949   0.955                (Fremont, California, US, NA) if-11-1-0-0.gw1.fnc1.us.linode.com                                                                  
   173.230.159.9   63949   0.526                (Fremont, California, US, NA) ae0-100.gw2.fnc1.us.linode.com                                                                      
   213.52.131.189  *       1.59          (Philadelphia, Pennsylvania, US, NA) if-0-1-2-997.gw4.scz1.us.linode.com                                                                 
   23.203.158.52   20940   1.895               (San Jose, California, US, NA) ae50.r12.sjc01.ien.netarch.akamai.com                                                               
   98.124.180.41   3257    2.102                       (San Jose, CA, US, NA) ae26.cr6-sjc1.ip4.gtt.net                                                                           
   213.200.120.106 3257    40.819                        (Dallas, TX, US, NA) ae12.cr7-dal3.ip4.gtt.net                                                                           
   4.30.105.238    19750   46.451                       (Houston, TX, US, NA) CRITEO.bear2.Houston1.Level3.net                                                                    
   ***             *       -inf                                           *** *                                                                                                   
   74.119.118.196  19750   41.594                     (Dallas, Texas, US, NA)                                                                                                     
   74.119.118.17   19750   40.56                      (Dallas, Texas, US, NA)                                                                                                     
