   103.242.68.78   133075  0.0                   (Auckland, Auckland, NZ, OC) 103-242-68-78.broadband.telesmart.co.nz                                                             
   103.242.68.65   133075  0.465                    (Wellington, WGN, NZ, OC) *                                                                                                   
   131.203.72.165  9790    0.626                 (Auckland, Auckland, NZ, OC) default-rdns.vocus.co.nz                                                                            
   131.203.72.166  9790    2.108                 (Auckland, Auckland, NZ, OC) default-rdns.vocus.co.nz                                                                            
   ***             *       -inf                                           *** *                                                                                                   
   175.45.102.234  9790    1.672                      (Auckland, AUK, NZ, OC) as9790.bdr01.akl05.akl.nz.vocus.network                                                             
╭─ 175.45.102.233  4826    1.972                      (Auckland, AUK, NZ, OC) be1000.bdr01.akl05.akl.nz.vocus.network                                                             
S (4826)  southern-cross-cable-network-sccn ✓ || southern-cross-next ✓
╰─ 114.31.199.74   4826    124.624                     (San Jose, CA, US, NA) be200.bdr03.lax01.ca.us.vocus.network                                                               
   173.205.42.33   3257    125.649                  (Los Angeles, CA, US, NA) ae8.cr4-lax2.ip4.gtt.net                                                                            
   213.200.120.106 3257    158.931                       (Dallas, TX, US, NA) ae12.cr7-dal3.ip4.gtt.net                                                                           
   206.53.202.158  *       166.845                    (Dallas, Texas, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   74.119.118.196  19750   158.683                    (Dallas, Texas, US, NA)                                                                                                     
   74.119.118.17   19750   166.358                    (Dallas, Texas, US, NA)                                                                                                     
