   23.174.128.243  53698   0.0               (Sacramento, California, US, NA) us-sac-as53698.anchors.atlas.ripe.net                                                               
   23.174.128.17   53698   0.392             (Sacramento, California, US, NA) vlan3-gateway.qts.smf.nix-ops.net                                                                   
   65.74.145.156   17018   0.534             (Sacramento, California, US, NA)                                                                                                     
   173.225.174.8   17018   1.192             (Sacramento, California, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   154.24.35.213   174     1.763             (Sacramento, California, US, NA) be4450.agr61.smf01.atlas.cogentco.com                                                               
   154.54.93.205   174     2.006             (Sacramento, California, US, NA) be4425.rcr71.smf01.atlas.cogentco.com                                                               
   154.54.29.250   174     4.691          (San Francisco, California, US, NA) be4445.ccr21.sfo01.atlas.cogentco.com                                                               
   154.54.43.10    174     5.6                         (San Jose, CA, US, NA) be3669.ccr41.sjc03.atlas.cogentco.com                                                               
   4.68.110.125    3356    5.897                       (San Jose, CA, US, NA) ae-18.edge9.SanJose1.Level3.net                                                                     
   4.69.206.169    3356    41.998                        (Dallas, TX, US, NA) ae2.3609.edge2.Dallas2.level3.net                                                                   
   4.14.135.90     19750   43.33                         (Dallas, TX, US, NA) CRITEO.edge2.Dallas2.Level3.net                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   74.119.118.196  19750   43.054                     (Dallas, Texas, US, NA)                                                                                                     
   74.119.118.17   19750   43.148                     (Dallas, Texas, US, NA)                                                                                                     
