   103.133.238.187 132808  0.0                 (Brisbane, Queensland, AU, OC) iptelco.com.au                                                                                      
   103.133.238.130 132808  0.329               (Brisbane, Queensland, AU, OC) vmnet-hsrp66.bdr01-bne-br1.iptelco.net.au                                                           
   103.17.223.161  58511   0.628               (Brisbane, Queensland, AU, OC) pe.as132808.as58511.net.223.17.103.in-addr.arpa                                                     
   103.30.218.118  58511   159.843                       (None, None, AU, OC) et-0-0-6.cor101.ndcb1.au.as58511.net                                                                
   103.30.217.28   58511   159.78                        (None, None, AU, OC) et-0-0-7.cor102.gssyd.au.as58511.net                                                                
   103.30.217.203  58511   159.798                       (None, None, AU, OC) et-0-0-4.cor102.ndcs1.au.as58511.net                                                                
   103.30.217.215  132072  160.824                       (None, None, AU, OC) ra6-80g.cor1.ndcs1.au.as58511.net                                                                   
   103.30.216.254  *       13.482           (Sydney, New South Wales, AU, OC) ra2.cor2.vdost.au.as58511.net                                                                       
   103.30.216.67   58511   159.947                       (None, None, AU, OC) te1-1-4.cor1.220qa.nz.as58511.net                                                                   
   103.30.216.131  58511   159.906                       (None, None, AU, OC) gi0-2-10.msr1.dre.au.as58511.net                                                                    
   103.30.216.15   *       160.091          (Sydney, New South Wales, AU, OC) te1-0-46.cor2.csla1.us.as58511.net                                                                  
╭─ 103.30.218.167  *       159.478          (Sydney, New South Wales, AU, OC) et-0-0-0.bdr101.csla1.us.as58511.net                                                                
S (, 3257)  
╰─ 173.205.52.201  3257    159.676          (Los Angeles, California, US, NA) ae0-1701.cr7-lax2.ip4.gtt.net                                                                       
   213.200.120.106 3257    193.021                       (Dallas, TX, US, NA) ae12.cr7-dal3.ip4.gtt.net                                                                           
   76.74.14.218    19750   193.799                   (Vero Beach, FL, US, NA) ip4.gtt.net                                                                                         
   ***             *       -inf                                           *** *                                                                                                   
   74.119.118.196  19750   193.888                    (Dallas, Texas, US, NA)                                                                                                     
   74.119.118.17   19750   193.858                    (Dallas, Texas, US, NA)                                                                                                     
