   177.124.130.57  52863   0.0                       (Miami, Florida, US, NA) security.upx.com                                                                                    
   10.1.251.1      *       0.298                                          ***                                                                                                     
   66.110.76.68    6453    0.565                     (Miami, Florida, US, NA) ix-hge-0-0-0-11-489.ecore2.mln-miami.as6453.net                                                     
   ***             *       -inf                                           *** *                                                                                                   
   129.250.9.97    2914    0.427                     (Miami, Florida, US, NA) ae-4.a03.miamfl02.us.bb.gin.ntt.net                                                                 
   129.250.7.47    2914    0.569                     (Miami, Florida, US, NA) ae-3.r23.miamfl02.us.bb.gin.ntt.net                                                                 
   129.250.2.86    2914    26.46                         (None, None, US, NA) ae-4.sayonara-dorian.r24.asbnva02.us.bb.gin.ntt.net                                                 
   129.250.2.36    2914    23.738                        (None, None, US, NA) ae-0.sayonara-dorian.r25.asbnva02.us.bb.gin.ntt.net                                                 
   129.250.6.117   2914    28.874                        (None, None, US, NA) ae-4.sayonara-dorian.r21.nwrknj03.us.bb.gin.ntt.net                                                 
   129.250.3.17    2914    28.962                        (None, None, US, NA) ae-1.sayonara-dorian.r00.lsanca07.us.bb.gin.ntt.net                                                 
   128.241.10.213  2914    28.465           (New York City, New York, US, NA) ce-4-1-1-1001.a02.nycmny17.us.ce.gin.ntt.net                                                        
   109.230.208.226 199610  28.922               (Clifton, New Jersey, US, NA)                                                                                                     
