   45.6.36.173     266152  0.0              (Campina Grande, Paraíba, BR, SA) 45.6.36.173.pjmfibra.com.br                                                                         
   45.6.36.61      266152  4.39             (Campina Grande, Paraíba, BR, SA) 45.6.36.61.pjmfibra.com.br                                                                          
   201.16.67.44    *       3.958            (Campina Grande, Paraíba, BR, SA)                                                                                                     
╭─ 201.16.2.79     *       85.703                   (Salvador, Bahia, BR, SA) ae0-0.core01.mia1.commcorp.net.br                                                                   
S (, 1299)  
╰─ 195.12.255.226  1299    86.122                    (Miami, Florida, US, NA) mai-b2-link.ip.twelve99.net                                                                         
   62.115.120.176  1299    105.991               (Sterling, Virginia, US, NA) ash-bb2-link.ip.twelve99.net                                                                        
   ***             *       -inf                                           *** *                                                                                                   
   62.115.126.179  1299    112.324               (Edison, New Jersey, US, NA) ewr-b1-link.ip.twelve99.net                                                                         
   62.115.44.133   1299    117.689                   (Miami, Florida, US, NA) marbisgmbh-ic-383538.ip.twelve99-cust.net                                                           
   109.230.208.226 199610  116.674              (Clifton, New Jersey, US, NA)                                                                                                     
