   5.199.167.27    216444  0.0                 (Singapore, Singapore, SG, AS)                                                                                                     
   5.199.167.25    216444  0.32                (Singapore, Singapore, SG, AS)                                                                                                     
   156.146.32.116  60068   0.865               (Singapore, Singapore, SG, AS) unn-156-146-32-116.cdn77.com                                                                        
   169.150.194.85  60068   0.898               (Singapore, Singapore, SG, AS) vl262.sgp-eq3-edge-2.cdn77.com                                                                      
╭─ 169.150.195.63  60068   1.346               (Singapore, Singapore, SG, AS) summit-sgp.cdn77.com                                                                                
S (60068, 58717)  seamewe-5 ✓ || seamewe-4 ✓
╰─ 103.199.87.41   58717   48.015                        (None, None, BD, AS) *                                                                                                   
   103.199.87.232  58717   48.409            (Paltan, Dhaka Division, BD, AS) 103.199.87.232.summitiig.net                                                                        
   103.199.87.152  58717   48.502                        (None, None, BD, AS) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   103.15.246.16   58717   48.435                      (Dhaka, Dhaka, BD, AS)                                                                                                     
