   63.222.106.8    3491    0.0                         (Seoul, Seoul, KR, AS) 63-222-106-8.static.pccwglobal.net                                                                  
   63.222.106.2    3491    0.866                (Yongsan-dong, Seoul, KR, AS) 63-222-106-2.static.pccwglobal.net                                                                  
   203.231.99.89   9848    0.378                (Yongsan-dong, Seoul, KR, AS)                                                                                                     
   211.115.197.73  9848    0.454                (Yongsan-dong, Seoul, KR, AS)                                                                                                     
   211.115.199.214 9848    0.49                 (Yongsan-dong, Seoul, KR, AS)                                                                                                     
   211.63.38.234   3786    0.512                (Yongsan-dong, Seoul, KR, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   1.208.113.134   3786    0.841                         (None, None, KR, AS) *                                                                                                   
   1.213.150.226   3786    0.735                         (None, None, KR, AS) *                                                                                                   
   61.111.34.154   3786    1.475                         (None, None, KR, AS) 61-111-34-154.kidc.net                                                                              
   110.45.129.162  3786    1.474                         (None, None, KR, AS) *                                                                                                   
   211.234.118.34  9286    2.665                         (None, None, KR, AS) *                                                                                                   
   203.246.169.178 9286    2.223                     (Gangnam-gu, 11, KR, AS) *                                                                                                   
   121.78.63.150   9286    2.632                       (Seoul, Seoul, KR, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   141.164.39.1    20473   2.905                    (Paripark, Seoul, KR, AS) 141.164.39.1.vultrusercontent.com                                                                   
