   206.108.17.63   852     0.0          (Vancouver, British Columbia, CA, NA) host63.17.108.206.in-addr.arpa                                                                      
   206.108.17.62   852     0.584        (Vancouver, British Columbia, CA, NA) host62.17.108.206.in-addr.arpa                                                                      
╭─ 75.154.217.108  852     3.669                         (None, None, CA, NA) STTLWAWBCI01.bb.telus.com                                                                           
S&T (852, 3491)  
╰─ 205.177.32.1    3491    4.067                        (Seattle, WA, US, NA) 205-177-32-1.static.pccwglobal.net                                                                  
   63.218.222.54   3491    63.269                      (New York, NY, US, NA) be41.br03.nyc06.pccwbtn.net                                                                         
   63.218.9.242    20473   64.275                      (New York, NY, US, NA) 63-218-9-242.static.pccwglobal.net                                                                  
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   208.167.242.134 20473   65.194            (Piscataway, New Jersey, US, NA) kanako.us.nat.moe                                                                                   
   141.193.21.6    46997   78.271               (Seattle, Washington, US, NA) sea01.us.nat.moe                                                                                    
   141.193.21.100  46997   78.382               (Seattle, Washington, US, NA) us-sea-as46997.anchors.atlas.ripe.net                                                               
