   46.30.208.71    51468   0.0           (Copenhagen, Capital Region, DK, EU)                                                                                                     
   46.30.208.70    51468   0.463           (Taastrup, Capital Region, DK, EU) ge-0-3-8-499.cr2-cph3.pub.network.one.com                                                           
╭─ 46.30.208.46    51468   26.422        (Copenhagen, Capital Region, DK, EU) ae3-0.cr1-cph4.mpls.network.one.com                                                                 
T (51468)  
╰─ 80.81.193.119   51468   24.931             (Frankfurt am Main, HE, DE, EU) decix.cr1-fra1.net.one.com                                                                          
   80.81.196.8     61157   25.145            (Frankfurt am Main, 5, DE, None) vlan500.ae10.cr1.fra.plusserver.com                                                                 
   85.119.200.182  61157   26.427                        (None, None, DE, EU) ae0.cr2.fra.plusserver.com                                                                          
   85.119.200.86   61157   37.592                       (Hamburg, HH, DE, EU) ae2.cr2.ham6.plusserver.com                                                                         
   85.119.200.130  61157   39.115                  (Hamburg, Hamburg, DE, EU) be1.er0.ham5.plusserver.com                                                                         
   194.15.144.152  6659    37.988                        (None, None, DE, EU) *                                                                                                   
   212.116.21.241  6659    37.628    (Norderstedt, Schleswig-Holstein, DE, EU)                                                                                                     
   212.116.14.178  6659    38.085                  (Hamburg, Hamburg, DE, EU)                                                                                                     
