   23.157.160.140  21700   0.0              (New York City, New York, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   23.157.160.4    21700   0.392            (New York City, New York, US, NA)                                                                                                     
   38.104.74.169   174     0.842            (New York City, New York, US, NA) te0-7-1-3.1045.rcr21.b007023-2.jfk05.atlas.cogentco.com                                             
   154.54.81.201   174     1.2              (New York City, New York, US, NA) be2809.ccr31.jfk05.atlas.cogentco.com                                                               
╭─ 4.68.110.89     3356    0.939                       (New York, NY, US, NA) ae-24.edge2.NewYork6.Level3.net                                                                     
LHL (3356)  apollo © || flag-atlantic-1-fa-1 ©
╰─ 171.75.8.161    3356    89.936                  (Hamburg, Hamburg, DE, EU) ae1.7.edge4.ham1.neo.colt.net                                                                       
   62.67.25.18     61157   80.353                       (Hamburg, HH, DE, EU) *                                                                                                   
   85.119.200.202  61157   89.089                       (Hamburg, HH, DE, EU) ae7.cr2.ham5.plusserver.com                                                                         
   85.119.200.130  61157   89.712                  (Hamburg, Hamburg, DE, EU) be1.er0.ham5.plusserver.com                                                                         
   194.15.144.152  6659    89.375                        (None, None, DE, EU) *                                                                                                   
   212.116.21.241  6659    89.418    (Norderstedt, Schleswig-Holstein, DE, EU)                                                                                                     
   212.116.14.178  6659    88.944                  (Hamburg, Hamburg, DE, EU)                                                                                                     
