   217.28.166.213  3292    0.0               (Århus, Central Jutland, DK, EU)                                                                                                     
   217.28.166.211  3292    52.913        (Tranbjerg, Central Jutland, DK, EU)                                                                                                     
╭─ 62.242.1.165    3292    1.461         (Tranbjerg, Central Jutland, DK, EU) ge-3-3-3-114.trgnqe10.dk.ip.tdc.net                                                                 
T (3292)  
╰─ 83.88.2.66      3292    16.162          (Frankfurt am Main, Hesse, DE, EU) ae6-0.ffm2nqp1.de.ip.tdc.net                                                                        
   80.81.196.8     61157   16.251            (Frankfurt am Main, 5, DE, None) vlan500.ae10.cr1.fra.plusserver.com                                                                 
   85.119.200.182  61157   16.377                        (None, None, DE, EU) ae0.cr2.fra.plusserver.com                                                                          
   85.119.200.86   61157   28.608                       (Hamburg, HH, DE, EU) ae2.cr2.ham6.plusserver.com                                                                         
   85.119.200.130  61157   29.057                  (Hamburg, Hamburg, DE, EU) be1.er0.ham5.plusserver.com                                                                         
   ***             *       -inf                                           *** *                                                                                                   
   212.116.21.241  6659    28.958    (Norderstedt, Schleswig-Holstein, DE, EU)                                                                                                     
   212.116.14.178  6659    29.425                  (Hamburg, Hamburg, DE, EU)                                                                                                     
