   62.50.171.162   35132   0.0                      (Førde, Vestland, NO, EU) 162.62-50-171.enivest.net                                                                           
   62.50.171.161   35132   0.767                    (Førde, Vestland, NO, EU) 161.62-50-171.enivest.net                                                                           
   193.28.236.38   30950   9.118                         (Oslo, Oslo, NO, EU) ba-h-gw.bkkb.no                                                                                     
╭─ 62.140.27.41    3356    8.611                         (Oslo, Oslo, NO, EU) lag-110-0.ear1.oslo1.level3.net                                                                     
LHL (3356)  tampnet-offshore-foc-network ✘ || no-uk ©
╰─ 171.75.8.187    3356    31.121                  (Hamburg, Hamburg, DE, EU) ae1.6.edge3.ham1.neo.colt.net                                                                       
   212.162.49.22   61157   31.105                       (Hamburg, HH, DE, EU) *                                                                                                   
   85.119.200.198  61157   25.909                       (Hamburg, HH, DE, EU) ae7.cr2.ham6.plusserver.com                                                                         
   85.119.200.142  6659    26.326                       (Hamburg, HH, DE, EU) be2.er0.ham6.plusserver.com                                                                         
   194.15.144.152  6659    33.156                        (None, None, DE, EU) *                                                                                                   
   194.15.144.152  6659    33.156                        (None, None, DE, EU) *                                                                                                   
   212.116.21.241  6659    33.033    (Norderstedt, Schleswig-Holstein, DE, EU)                                                                                                     
   212.116.14.178  6659    33.44                   (Hamburg, Hamburg, DE, EU)                                                                                                     
