   202.214.97.16   2497    0.0                      (Hatsudai, Tokyo, JP, AS)                                                                                                     
   202.214.97.2    2497    0.776 (7.712)                  (Tokyo, Tokyo, JP, AS)                                                                                                     
   210.138.93.41   2497    0.57                        (Tokyo, Tokyo, JP, AS)                                                                                                     
   58.138.114.237  2497    0.807                       (Tokyo, Tokyo, JP, AS) tky009ipgw01.iij.net                                                                                
   58.138.114.213  2497    0.92                        (Tokyo, Tokyo, JP, AS) tky009bb01.iij.net                                                                                  
   58.138.112.54   2497    1.566                       (Tokyo, Tokyo, JP, AS)                                                                                                     
   58.138.112.42   2497    1.718                       (Tokyo, Tokyo, JP, AS) tky009ix52.iij.net                                                                                  
╭─ 63.222.57.37    3491    1.344                       (Tokyo, Tokyo, JP, AS) 63-222-57-37.static.pccwglobal.net                                                                  
S (3491)  japan-u-s-cable-network-jus 👍 || tata-tgn-pacific ✓ || pacific-crossing-1-pc-1 ✓ || faster ✓ || jupiter 👍
╰─ 63.223.43.114   3491    122.328                  (Los Angeles, CA, US, NA) TenGE0-1-0-15.br04.lax05.pccwbtn.net                                                                
   63.223.43.114   3491    122.328                  (Los Angeles, CA, US, NA) TenGE0-1-0-15.br04.lax05.pccwbtn.net                                                                
   63.218.212.242  3491    110.756           (El Segundo, California, US, NA) yomura.ge-0-0-0-10.br03.lax05.as3491.net                                                            
