   185.225.24.25   64289   0.0                      (London, England, GB, EU)                                                                                                     
   185.225.24.1    64289   0.259                    (Poplar, England, GB, EU) mx1.lon.macarne.com                                                                                 
   87.245.240.38   9002    0.502                    (Poplar, England, GB, EU) ae0-544.rt.th2.lon.uk.retn.net                                                                      
   87.245.233.99   9002    0.771                        (London, ENG, GB, EU) ae1-7.RT.TC2.LON.UK.retn.net                                                                        
   195.66.224.66   8426    0.729                      (London, ENG, GB, None) ten0-1-1-2-t40-mse1.router.uk.clara.net                                                             
   195.157.3.22    8426    0.708             (Friern Barnet, England, GB, EU) be2-gs2-mse1.router.uk.clara.net                                                                    
   195.157.3.181   8426    1.517                         (None, None, GB, EU) *                                                                                                   
╭─ 195.157.3.145   8426    1.214 (2.318)                    (None, None, GB, EU) be2-ld5-mse1.router.uk.clara.net                                                                    
S&T (8426)  seamewe-3 ✓
╰─ 195.8.68.150    8426    14.579                        (None, None, FR, EU) tengige0-0-0-5-sd-mse2.router.fr.clara.net                                                          
   212.43.193.149  8426    12.153                        (None, None, FR, EU) sd-ar11-te-0-0-2-1.router.fr.clara.net                                                              
   89.185.60.124   8426    11.796              (Paris, Île-de-France, FR, EU) unused-89-185-60-124.fr.clara.net                                                                   
