   194.50.88.164   39617   0.0             (Newark on Trent, England, GB, EU) uk-ldr-as39617.anchors.atlas.ripe.net                                                               
   194.50.88.134   39617   1.246               (Nottinghamshire, ENG, GB, EU) gwc.8086.net                                                                                        
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   10.69.2.145     *       28.156                                         ***                                                                                                     
   10.69.3.69      *       28.081                                         ***                                                                                                     
╭─ 195.66.224.193  9002    29.293                     (London, ENG, GB, None) linx-224.retn.net                                                                                   
S&T (9002)  pan-european-crossing-uk-belgium ✓ || tangerine ✓ || concerto ✘
╰─ 87.245.234.10   9002    32.418                     (Brussels, BRU, BE, EU) et000-7.RT.IRX.BRU.BE.retn.net                                                                      
   87.245.230.147  9002    32.682                (Nossegem, Flanders, BE, EU) gw-as212882.retn.net                                                                                
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
