   185.251.232.156 209669  0.0                      (Bexley, England, GB, EU) 156.232.251.185.arpa.primonetwork.co.uk                                                             
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   91.193.116.88   201933  1.456                    (Poplar, England, GB, EU)                                                                                                     
   184.104.204.237 6939    1.626                    (London, England, GB, EU) e0-21.switch3.lon3.he.net                                                                           
   184.105.64.4    6939    10.789                   (Poplar, England, GB, EU) port-channel18.core3.lon2.he.net                                                                    
╭─ 195.66.225.9    50304   40.009                       (London, ENG, GB, EU) ncs-ld8-lhr.blix.com                                                                                
S&T (50304)  
╰─ 31.169.49.128   50304   48.415                        (Oslo, Oslo, NO, EU) 100ge3.cra-dpu-osl.blix.com                                                                         
   31.169.49.93    50304   32.542                        (Oslo, Oslo, NO, EU) 100ge3.ncs-dpu-osl.blix.com                                                                         
   31.169.48.101   50304   53.529                    (Stodsbuoye, 34, NO, EU) *                                                                                                   
   195.43.159.22   207788  50.567                        (Oslo, Oslo, NO, EU) anchors.as207788.net                                                                                
