   185.233.100.99  198985  0.0         (Bordeaux, Nouvelle-Aquitaine, FR, EU) ripe-atlas.aquilenet.fr                                                                             
   185.233.100.124 198985  0.217          (Cenon, Nouvelle-Aquitaine, FR, EU) charon1.aquilenet.fr                                                                                
   149.6.44.17     174     0.976          (Cenon, Nouvelle-Aquitaine, FR, EU) gi0-0-1-1.nr11.b015544-0.bod01.atlas.cogentco.com                                                   
   154.25.0.73     174     1.127          (Cenon, Nouvelle-Aquitaine, FR, EU) te0-0-0-35.rcr71.bod01.atlas.cogentco.com                                                           
╭─ 130.117.3.53    15557   9.041                         (Paris, IDF, FR, EU) be3051.ccr42.par01.atlas.cogentco.com                                                               
S&T (15557, 174)  
╰─ 154.54.57.166   174     14.295                     (Brussels, BRU, BE, EU) be3675.rcr21.bru01.atlas.cogentco.com                                                               
   ***             *       -inf                                           *** *                                                                                                   
   109.233.104.97  48408   14.251        (Brussels, Brussels Capital, BE, EU)                                                                                                     
   45.87.79.251    208725  14.21         (Brussels, Brussels Capital, BE, EU) router01.sw1.core.devrandom.be                                                                      
   45.87.76.6      208725  14.215        (Brussels, Brussels Capital, BE, EU) ansible.devrandom.be                                                                                
