   37.252.253.18   42473   0.0                      (Palermo, Sicily, IT, EU)                                                                                                     
   37.252.253.17   42473   0.386                    (Palermo, Sicily, IT, EU) cr-01.0v-04-28.anx35.pmo.it.anexia-it.com                                                           
   213.144.186.81  6762    0.573                    (Palermo, Sicily, IT, EU)                                                                                                     
   195.22.192.139  33438   21.297                         (Milan, 25, IT, EU) ae0.milano59.mil.seabone.net                                                                        
   195.22.192.139  33438   21.297                         (Milan, 25, IT, EU) ae0.milano59.mil.seabone.net                                                                        
╭─ 195.22.212.223  6762    21.773                   (Milan, Lombardy, IT, EU) level3.milano59.mil.seabone.net                                                                     
S (6762, 3356)  
╰─ 171.75.9.185    3356    49.121        (Brussels, Brussels Capital, BE, EU) ae2.2.edge4.bru1.neo.colt.net                                                                       
   ***             *       -inf                                           *** *                                                                                                   
   109.233.104.220 48408   42.034        (Brussels, Brussels Capital, BE, EU)                                                                                                     
   109.233.104.97  48408   43.41         (Brussels, Brussels Capital, BE, EU)                                                                                                     
   45.87.79.251    208725  44.604        (Brussels, Brussels Capital, BE, EU) router01.sw1.core.devrandom.be                                                                      
   45.87.76.6      208725  46.189        (Brussels, Brussels Capital, BE, EU) ansible.devrandom.be                                                                                
