   188.172.217.86  42473   0.0                (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   188.172.217.85  42473   1.154                  (Edenvale, Gauteng, ZA, AF)                                                                                                     
   41.66.181.78    37179   1.319              (Johannesburg, Gauteng, ZA, AF) eoh-gw.dcr01.anx67.jnb.za.anexia-it.net                                                             
   41.84.13.0      37179   2.197                  (Edenvale, Gauteng, ZA, AF) core.100g-8-0-0-gp-id-ter-scp-1.za.africainx.net                                                    
   196.60.8.215    30844   1.663                   (Johannesburg, GT, ZA, AF) napafricajhb.liquidtelecom.net                                                                      
   41.175.223.191  30844   1.908              (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   41.175.242.17   30844   56.232                  (Johannesburg, GT, ZA, AF) hu-0-0-0-1.lza-p4-jhb.liquidtelecom.net                                                             
╭─ 5.11.12.164     30844   56.537             (Johannesburg, Gauteng, ZA, AF) network.ltz-vsat182-mar.liquidtelecom.com                                                           
S&T (30844)  
╰─ 41.175.223.183  30844   56.082             (Nairobi, Nairobi Area, KE, AF)                                                                                                     
   197.155.94.188  30844   56.87                      (Nairobi, None, KE, AF) hu-0-1-0-2.lke-p2-nbi.liquidtelecom.net                                                             
   197.155.94.51   30844   56.194                     (Nairobi, None, KE, AF) xe-0-1-0-1.lke-pe3-nbi.liquidtelecom.net                                                            
   197.155.93.65   37578   55.96                        (Nairobi, 30, KE, AF) 197.155.93.65.liquidtelecom.net                                                                     
   196.6.220.42    37578   56.058           (Nairobi, Nairobi County, KE, AF)                                                                                                     
