   156.154.53.254  12008   0.0                         (Dubai, Dubai, AE, AS)                                                                                                     
   156.154.53.253  12008   0.344                       (Dubai, Dubai, AE, AS)                                                                                                     
   217.151.46.26   4637    1.082                       (Dubai, Dubai, AE, AS) unknown.telstraglobal.net                                                                           
   202.84.204.46   4637    1.681                       (Dubai, Dubai, AE, AS) i-102.uddm-core01.telstraglobal.net                                                                 
   202.84.204.194  4637    4.224                       (Dubai, Dubai, AE, AS) unknown.telstraglobal.net                                                                           
╭─ 185.1.15.32     30844   3.937                   (Al Fujayrah, 4, AE, None) *                                                                                                   
S&T (30844)  the-east-african-marine-system-teams ✓
╰─ 197.155.94.83   30844   60.201                       (Nairobi, 30, KE, AF) xe-0-1-1-2-0.lke-p2-msa.liquidtelecom.net                                                           
   197.155.94.188  30844   59.127                     (Nairobi, None, KE, AF) hu-0-1-0-2.lke-p2-nbi.liquidtelecom.net                                                             
   197.155.94.51   30844   58.908                     (Nairobi, None, KE, AF) xe-0-1-0-1.lke-pe3-nbi.liquidtelecom.net                                                            
   197.155.93.65   37578   58.98                        (Nairobi, 30, KE, AF) 197.155.93.65.liquidtelecom.net                                                                     
   196.6.220.42    37578   58.939           (Nairobi, Nairobi County, KE, AF)                                                                                                     
