   45.68.35.213    64150   0.0       (San Pedro Sula, Cortés Department, HN, NA)                                                                                                     
╭─ 45.68.35.209    64150   0.244     (San Pedro Sula, Cortés Department, HN, NA)                                                                                                     
S (64150, 54082)  arcos ✓ || maya-1 ✘
╰─ 23.168.104.9    54082   21.842                    (Miami, Florida, US, NA)                                                                                                     
╭─ 206.41.108.51   1916    37.939                        (None, None, US, NA) *                                                                                                   
S (1916)  
╰─ 200.143.252.26  1916    28.05                    (Nova Iguaçu, RJ, BR, SA) mia2-mia1.bkb.rnp.br                                                                                
   170.79.213.46   1916    93.724                        (None, None, BR, SA) *                                                                                                   
   170.79.213.138  *       92.687    (Rio de Janeiro, Rio de Janeiro, BR, SA) cce1-cce2.bkb.rnp.br                                                                                
   170.79.213.30   1916    114.843                       (None, None, BR, SA) *                                                                                                   
   170.79.213.155  *       124.702                  (Salvador, Bahia, BR, SA) cmg1-cba1-100g-infobarra.bkb.rnp.br                                                                 
   200.143.253.162 1916    287.464                  (Nova Iguaçu, RJ, BR, SA) lanmg-mg.bkb.rnp.br                                                                                 
   200.131.0.133   1916    133.354                       (None, None, BR, SA) ptp-almeirao-couve.pop-mg.rnp.br                                                                    
   200.131.0.143   1916    124.43                        (None, None, BR, SA) ptp-tropeiro-almeirao.pop-mg.rnp.br                                                                 
   200.19.158.1    1916    124.683     (Belo Horizonte, Minas Gerais, BR, SA) ufmg-20g-1.pop-mg.rnp.br                                                                            
   150.164.164.43  271354  123.496     (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   150.164.164.133 271354  124.595                       (None, None, BR, SA) *                                                                                                   
   150.164.164.2   271354  124.729                       (None, None, BR, SA) dcc-fw.rede.ufmg.br                                                                                 
   150.164.1.130   271354  124.498                       (None, None, BR, SA) shivalegacy.dcc.ufmg.br                                                                             
   150.164.1.222   271354  133.794     (Belo Horizonte, Minas Gerais, BR, SA) ripeatlas-anchor.dcc.ufmg.br                                                                        
