   138.117.32.11   264479  0.0              (Feira de Santana, Bahia, BR, SA) 138-117-32-11.static.turbozoneinternet.net.br                                                       
   138.117.32.9    264479  1.315            (Feira de Santana, Bahia, BR, SA) 138-117-32-9.static.turbozoneinternet.net.br                                                        
   131.255.120.234 264479  1.71             (Feira de Santana, Bahia, BR, SA) rt01-core.turbozoneinternet.net.br                                                                  
   10.10.127.5     *       1.286                                          ***                                                                                                     
   200.219.145.1   *       3.282                    (Salvador, Bahia, BR, SA) as1916.salvador.ba.ix.br                                                                            
   170.79.213.155  *       22.0                     (Salvador, Bahia, BR, SA) cmg1-cba1-100g-infobarra.bkb.rnp.br                                                                 
   200.143.253.162 1916    27.726 (186.005)               (Nova Iguaçu, RJ, BR, SA) lanmg-mg.bkb.rnp.br                                                                                 
   200.131.0.133   1916    27.639                        (None, None, BR, SA) ptp-almeirao-couve.pop-mg.rnp.br                                                                    
   200.131.0.143   1916    27.568                        (None, None, BR, SA) ptp-tropeiro-almeirao.pop-mg.rnp.br                                                                 
   200.19.158.1    1916    27.898      (Belo Horizonte, Minas Gerais, BR, SA) ufmg-20g-1.pop-mg.rnp.br                                                                            
   150.164.164.43  271354  27.844      (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   150.164.164.133 271354  28.062                        (None, None, BR, SA) *                                                                                                   
   150.164.164.2   271354  27.975                        (None, None, BR, SA) dcc-fw.rede.ufmg.br                                                                                 
   150.164.1.130   271354  28.168                        (None, None, BR, SA) shivalegacy.dcc.ufmg.br                                                                             
   150.164.1.222   271354  28.075      (Belo Horizonte, Minas Gerais, BR, SA) ripeatlas-anchor.dcc.ufmg.br                                                                        
