   206.162.189.131 852     0.0                     (Montréal, Quebec, CA, NA) pcisrv.consultik.qc.ca                                                                              
   206.162.189.130 852     0.703                   (Montréal, Quebec, CA, NA) bureautique.consultik.com                                                                           
╭─ 75.154.223.222  *       17.348                  (Toronto, Ontario, CA, NA)                                                                                                     
S&T (, 174)  
╰─ 38.140.107.1    174     18.126                      (New York, NY, US, NA) be4627.ccr31.jfk10.atlas.cogentco.com                                                               
   66.28.4.181     174     18.167                      (New York, NY, US, NA) be3495.ccr41.jfk02.atlas.cogentco.com                                                               
   154.54.40.153   174     24.444                        (Boston, MA, US, NA) be3471.ccr31.bos01.atlas.cogentco.com                                                               
   154.54.87.98    174     23.641                        (Boston, MA, US, NA) be3662.agr21.bos01.atlas.cogentco.com                                                               
   38.140.158.2    10961   23.713                     (Cambridge, MA, US, NA) *                                                                                                   
   192.5.208.239   10961   23.49                         (None, None, US, NA) cumm111-tunnel-gw01-po1927-cumm111-bdr-gw05-po1927.bu.edu                                           
   128.197.255.155 111     23.943             (Boston, Massachusetts, US, NA)                                                                                                     
   204.8.154.50    10961   24.643             (Boston, Massachusetts, US, NA) cs-atlas.bu.edu                                                                                     
