   23.130.139.89   52210   0.0                      (Kanata, Ontario, CA, NA) 89-139-130-23.static.accuris.ca                                                                     
   23.130.139.253  52210   0.466                    (Kanata, Ontario, CA, NA) yow-sw2.accuris.ca                                                                                  
   23.130.139.252  52210   0.462                    (Ottawa, Ontario, CA, NA) yow-cr2.accuris.ca                                                                                  
   ***             *       -inf                                           *** *                                                                                                   
   154.24.83.129   174     2.022                    (Kanata, Ontario, CA, NA) be3532.rcr61.yow01.atlas.cogentco.com                                                               
╭─ 154.54.91.101   174     4.074                   (Montréal, Quebec, CA, NA) be3526.ccr22.ymq01.atlas.cogentco.com                                                               
S&T (174)  
╰─ 154.54.43.22    174     8.93                          (Albany, NY, US, NA) be2104.ccr22.alb02.atlas.cogentco.com                                                               
   154.54.0.222    174     12.721                        (Boston, MA, US, NA) be3600.ccr32.bos01.atlas.cogentco.com                                                               
   154.54.87.102   174     12.535                        (Boston, MA, US, NA) be3663.agr21.bos01.atlas.cogentco.com                                                               
   38.140.158.2    10961   12.27                      (Cambridge, MA, US, NA) *                                                                                                   
   192.5.208.239   10961   12.168                        (None, None, US, NA) cumm111-tunnel-gw01-po1927-cumm111-bdr-gw05-po1927.bu.edu                                           
   128.197.255.155 111     17.894             (Boston, Massachusetts, US, NA)                                                                                                     
   204.8.154.50    10961   18.081             (Boston, Massachusetts, US, NA) cs-atlas.bu.edu                                                                                     
