   209.195.0.34    6597    0.0                     (Atlanta, Georgia, US, NA)                                                                                                     
   208.73.219.169  6597    1.184                   (Atlanta, Georgia, US, NA)                                                                                                     
   208.73.216.194  6597    0.941                   (Atlanta, Georgia, US, NA) 100ge0-1-0-20.cr2.ag2.atl1.coloblox.net                                                             
   216.66.23.17    6939    1.329                   (Atlanta, Georgia, US, NA) e0-2.switch1.atl8.he.net                                                                            
   ***             *       -inf                                           *** *                                                                                                   
   62.115.49.105   1299    1.9                     (Atlanta, Georgia, US, NA) atl-b24-link.ip.twelve99.net                                                                        
   129.250.9.21    2914    1.426                         (None, None, US, NA) ae-2.sayonara-dorian.r04.atlnga05.us.bb.gin.ntt.net                                                 
   129.250.2.21    2914    1.691                   (Atlanta, Georgia, US, NA) ae-7.r24.atlnga05.us.bb.gin.ntt.net                                                                 
   129.250.4.165   2914    15.296                        (None, None, US, NA) ae-4.sayonara-dorian.r25.asbnva02.us.bb.gin.ntt.net                                                 
   129.250.2.57    2914    14.559                        (None, None, US, NA) ae-1.sayonara-dorian.a00.rstnva04.us.bb.gin.ntt.net                                                 
   128.241.219.194 2914    13.996                 (Ashburn, Virginia, US, NA) ae-32-200.a00.rstnva04.us.ce.gin.ntt.net                                                            
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   104.167.215.81  60841   33.392                     (Dallas, Texas, US, NA) sw01.dfw01.us.infra.berrybyte.network                                                               
   104.167.215.167 60841   33.6                       (Dallas, Texas, US, NA) 104-167-215-167.ipv4.berrybyte.net                                                                  
